1.630627063407743549e+01,1.630839132077455389e+01,1.630815836841802380e+01,1.630791537765700028e+01,1.630776073196650700e+01,1.630744584555344190e+01,1.630723168350339591e+01,1.630688685718077835e+01,1.630664641556139571e+01,1.630628525591857425e+01,1.630603004565199754e+01,1.630565863790677383e+01,1.630539397411191871e+01,1.630501559236412135e+01,1.630474438085160571e+01,1.630436102184258829e+01,1.630408504469269104e+01,1.630369804771568809e+01,1.630341849676548094e+01,1.630302883429547123e+01,1.630274656554049528e+01,1.630235499590508041e+01,1.630207066439413310e+01,1.630167782025648648e+01,1.630139195833425347e+01,1.630099840323436311e+01,1.630071147000291631e+01,1.630031773867242606e+01,1.630003015434024149e+01,1.629963678538492289e+01,1.629934895792364813e+01,1.629895652434486664e+01,1.629867119211792215e+01,1.629827118917396689e+01,1.629797846937611538e+01,1.629757128881928097e+01,1.629727243788233793e+01,1.629686123967774591e+01,1.629655854311763008e+01,1.629614660533336945e+01,1.629584242688211404e+01,1.629543320885127855e+01,1.629513003577854846e+01,1.629472725617099726e+01,1.629442775538614541e+01,1.629403549410255536e+01,1.629374258578639356e+01,1.629336542396605125e+01,1.629308238383066154e+01,1.629272560644108836e+01,1.629245621629363328e+01,1.629212612211962607e+01,1.629187490657902160e+01,1.629157931432569484e+01,1.629135194412586429e+01,1.629110108793919309e+01,1.629090514502845721e+01,1.629071343718979747e+01,1.629056011605161203e+01,1.629045018473726003e+01,1.629035923857951573e+01,1.629037365925903558e+01,1.629039859024096870e+01,1.629065223013558494e+01
1.632131593036288919e+01,1.632161744298255002e+01,1.632115712462066170e+01,1.632038937304225001e+01,1.631988453087376811e+01,1.631906953695240148e+01,1.631850996923298425e+01,1.631767036019884998e+01,1.631708241679696059e+01,1.631622689264669646e+01,1.631562097967159275e+01,1.631475396598700911e+01,1.631413535138564086e+01,1.631325946798578741e+01,1.631263122463728621e+01,1.631174817805083777e+01,1.631111227063848190e+01,1.631022324871955931e+01,1.630958101636735691e+01,1.630868688789569276e+01,1.630803928718196261e+01,1.630714071322750414e+01,1.630648845233247712e+01,1.630558595338749228e+01,1.630492957159909295e+01,1.630402357084811982e+01,1.630336348849445827e+01,1.630245434158871021e+01,1.630179089303029016e+01,1.630087891012825452e+01,1.630021236666242856e+01,1.629929783027846923e+01,1.629862461440725241e+01,1.629772292868494432e+01,1.629706058696074678e+01,1.629617171559996791e+01,1.629551857477283150e+01,1.629463726310665450e+01,1.629398938240406736e+01,1.629311001501259781e+01,1.629246308176224645e+01,1.629158007571447442e+01,1.629092967439188300e+01,1.629003794455417164e+01,1.628937986961321727e+01,1.628847541480953254e+01,1.628780605939736148e+01,1.628688674697057337e+01,1.628620361880953737e+01,1.628527030004182663e+01,1.628457275363862067e+01,1.628363095303165409e+01,1.628292130734908838e+01,1.628198396874222809e+01,1.628126936624899557e+01,1.628036171441965863e+01,1.627965758139215424e+01,1.627882673534864821e+01,1.627816438794689802e+01,1.627750156384665559e+01,1.627695046297437997e+01,1.627665621263152573e+01,1.627644326438951694e+01,1.627712140901783044e+01
1.633733170326147288e+01,1.633695550544329222e+01,1.633619119550420962e+01,1.633488911144907618e+01,1.633403001698136592e+01,1.633267671814832767e+01,1.633174625006948943e+01,1.633036317050459729e+01,1.632939390985958283e+01,1.632799050073293046e+01,1.632699607470538794e+01,1.632557749338897324e+01,1.632456500548900991e+01,1.632313441792988939e+01,1.632210807076156556e+01,1.632066757199278584e+01,1.631963006354427392e+01,1.631818111362327883e+01,1.631713427581148323e+01,1.631567793104822073e+01,1.631462305783757216e+01,1.631316010388150772e+01,1.631209813472842285e+01,1.631062916805903740e+01,1.630956079714214724e+01,1.630808627746207762e+01,1.630701202187022147e+01,1.630553230717596591e+01,1.630445255094746670e+01,1.630296792186349109e+01,1.630188294502298874e+01,1.630039362232027145e+01,1.629930939723837469e+01,1.629779221580645654e+01,1.629668151637622486e+01,1.629513929244090420e+01,1.629400666585486590e+01,1.629245222037907581e+01,1.629130725821668690e+01,1.628975455441944575e+01,1.628860795115705784e+01,1.628707006672452451e+01,1.628593207946855159e+01,1.628441909259714393e+01,1.628329788773995901e+01,1.628181480646321333e+01,1.628071476175021459e+01,1.627925969827477104e+01,1.627817976224742935e+01,1.627674269827227960e+01,1.627567497866774104e+01,1.627423776708724290e+01,1.627316667044360443e+01,1.627170558480322171e+01,1.627060818754856442e+01,1.626910196208345027e+01,1.626795128196727802e+01,1.626640214193520606e+01,1.626517842906712019e+01,1.626366889667918159e+01,1.626240170700905807e+01,1.626127730515932512e+01,1.626032038963601778e+01,1.626105160414532591e+01
1.635351190788109577e+01,1.635264024144134609e+01,1.635156326782742653e+01,1.634972055527180501e+01,1.634850274886538202e+01,1.634660081302859425e+01,1.634529208033696079e+01,1.634335472453426163e+01,1.634199638191022430e+01,1.634003462572935561e+01,1.633864413466882937e+01,1.633666404201956368e+01,1.633525048443314986e+01,1.633325575024786147e+01,1.633182445480615286e+01,1.632981748722810522e+01,1.632837183470273246e+01,1.632635427936476091e+01,1.632489653311861488e+01,1.632286955414961227e+01,1.632140128764250164e+01,1.631936572981104305e+01,1.631788806528535574e+01,1.631584455290403923e+01,1.631435830290282496e+01,1.631230730276097418e+01,1.631081305778719681e+01,1.630875492046996911e+01,1.630725310485716761e+01,1.630518809245266354e+01,1.630367900034963569e+01,1.630160730521170365e+01,1.630008349159687953e+01,1.629803677967275277e+01,1.629653634581714527e+01,1.629450685469635829e+01,1.629302022125607863e+01,1.629098370359512060e+01,1.628949163197006555e+01,1.628742357242987993e+01,1.628590579421276630e+01,1.628378833364672928e+01,1.628222909968491905e+01,1.628005703443400520e+01,1.627845016773505549e+01,1.627623464552759813e+01,1.627458702785318323e+01,1.627235548159111289e+01,1.627068776965896646e+01,1.626847866114525942e+01,1.626682189780113319e+01,1.626467313971077999e+01,1.626305981467644912e+01,1.626099072177295568e+01,1.625943881763760857e+01,1.625742836384988621e+01,1.625591733392299432e+01,1.625389063654347410e+01,1.625233110454310292e+01,1.625019893342623689e+01,1.624842033400274133e+01,1.624636722398835786e+01,1.624446075883166785e+01,1.624472463069150763e+01
1.636975570233504840e+01,1.636844293458228705e+01,1.636704406963827196e+01,1.636465519645867417e+01,1.636307414545944283e+01,1.636061928542396160e+01,1.635892890162121205e+01,1.635643455486723497e+01,1.635468499118117691e+01,1.635216340375579236e+01,1.635037567144680537e+01,1.634783343232642494e+01,1.634601829649592730e+01,1.634345930110031020e+01,1.634162296560611338e+01,1.633904966797962288e+01,1.633719599286190771e+01,1.633461001108387478e+01,1.633274152866635021e+01,1.633014396675631730e+01,1.632826240154300024e+01,1.632565403305856933e+01,1.632376058980394973e+01,1.632114196825725827e+01,1.631923750125169903e+01,1.631660902922589429e+01,1.631469414608474011e+01,1.631205611975505221e+01,1.631013124676420034e+01,1.630748388504974145e+01,1.630554930857455176e+01,1.630289277221761068e+01,1.630095789658241401e+01,1.629825295926185902e+01,1.629626886651022488e+01,1.629353221309818167e+01,1.629151721128884489e+01,1.628878879391913870e+01,1.628677601654809592e+01,1.628408942881001664e+01,1.628210803052651201e+01,1.627947465996344079e+01,1.627753608468322355e+01,1.627493656800407607e+01,1.627302620284476120e+01,1.627041376836923448e+01,1.626849214258298559e+01,1.626580973559289589e+01,1.626382562099641760e+01,1.626103428657290095e+01,1.625894879601349530e+01,1.625605850648120310e+01,1.625387413606215858e+01,1.625096030413356729e+01,1.624874106213881930e+01,1.624592192991676143e+01,1.624377875362095480e+01,1.624112777822181286e+01,1.623912488153594680e+01,1.623653128136887958e+01,1.623445297339494431e+01,1.623171117999357804e+01,1.622900791495419526e+01,1.622846946922043898e+01
1.638603534647730697e+01,1.638430190640448814e+01,1.638257295921282264e+01,1.637963578095535766e+01,1.637768907287958697e+01,1.637468202831600905e+01,1.637261008327891076e+01,1.636956152787348628e+01,1.636742251349054911e+01,1.636434513610861075e+01,1.636216297028380851e+01,1.635906329518537561e+01,1.635684995947141829e+01,1.635373164565483606e+01,1.635149387770820439e+01,1.634835909906980689e+01,1.634610098466102812e+01,1.634295108639533467e+01,1.634067523621697049e+01,1.633751107692413740e+01,1.633521922229405732e+01,1.633204136478731883e+01,1.632973468385223370e+01,1.632654350719681702e+01,1.632422281422468302e+01,1.632101858215344947e+01,1.631868444205623092e+01,1.631546734595832504e+01,1.631312014538480781e+01,1.630989033178200032e+01,1.630753032346013498e+01,1.630428791157166302e+01,1.630190474745094420e+01,1.629869641983397344e+01,1.629635013255405340e+01,1.629314654245866123e+01,1.629080510805560422e+01,1.628754866276026902e+01,1.628516107597520701e+01,1.628181760079754525e+01,1.627935153004277780e+01,1.627593570207551466e+01,1.627340117901518823e+01,1.626997508539567505e+01,1.626742545248456651e+01,1.626406581386327588e+01,1.626157030708602491e+01,1.625831615603567570e+01,1.625591234340554792e+01,1.625272160515608988e+01,1.625037178276517835e+01,1.624712425298537966e+01,1.624471176670798656e+01,1.624128568396785965e+01,1.623868450421147003e+01,1.623508918827146275e+01,1.623230410688814018e+01,1.622875923021593536e+01,1.622602738258295574e+01,1.622276674831279308e+01,1.622026235738483635e+01,1.621702317190225173e+01,1.621377588287373328e+01,1.621233290792912030e+01
1.640234020120268710e+01,1.640019465376225938e+01,1.639812915688632344e+01,1.639464533240809274e+01,1.639233311894539824e+01,1.638877899495397727e+01,1.638632866950326417e+01,1.638273302231990058e+01,1.638020945347703972e+01,1.637658442017360372e+01,1.637401360932960159e+01,1.637036497626534626e+01,1.636775958064353276e+01,1.636409030388772479e+01,1.636145722464951646e+01,1.635776886738582903e+01,1.635511215491367665e+01,1.635140555149493835e+01,1.634872770704687994e+01,1.634500329787466555e+01,1.634230592291034156e+01,1.633856393451634048e+01,1.633584808070669681e+01,1.633208862739298795e+01,1.632935499637612153e+01,1.632557813976187688e+01,1.632282720192327119e+01,1.631903298686210491e+01,1.631626505376425840e+01,1.631245353049525093e+01,1.630966879920815771e+01,1.630584003720105102e+01,1.630304996390289674e+01,1.629915095562522964e+01,1.629628503244322957e+01,1.629236236845777341e+01,1.628947214379717678e+01,1.628560022504877480e+01,1.628275435710248331e+01,1.627895261453829434e+01,1.627617007428771601e+01,1.627237756227034282e+01,1.626960232030038966e+01,1.626571752188331743e+01,1.626285357483698490e+01,1.625881991521519510e+01,1.625581163466453205e+01,1.625168641758918042e+01,1.624858721407894535e+01,1.624452184353966899e+01,1.624147880844126490e+01,1.623758730846131115e+01,1.623470989571488943e+01,1.623091087906917451e+01,1.622810034320816186e+01,1.622412721413203940e+01,1.622108229513403188e+01,1.621681505227454068e+01,1.621343341363956014e+01,1.620926766937047248e+01,1.620605666433256076e+01,1.620226370237803692e+01,1.619859539760443923e+01,1.619629480908499275e+01
1.641866541690683690e+01,1.641611188731430104e+01,1.641370539366161907e+01,1.640968022824361228e+01,1.640700520757929226e+01,1.640291283163987046e+01,1.640008998657114603e+01,1.639595782577492855e+01,1.639305712280584970e+01,1.638889567298088679e+01,1.638594428661639668e+01,1.638175790711273194e+01,1.637876860920449218e+01,1.637455910117049029e+01,1.637153859220669005e+01,1.636730660380043290e+01,1.636425865443075978e+01,1.636000430088090241e+01,1.635693113553962874e+01,1.635265429536045900e+01,1.634955726962359179e+01,1.634525773401582427e+01,1.634213769235066849e+01,1.633781524338529323e+01,1.633467271891449712e+01,1.633032717150926416e+01,1.632716250208766340e+01,1.632279372704012133e+01,1.631960712434836225e+01,1.631521506136484234e+01,1.631200665213159695e+01,1.630759131765370995e+01,1.630434942925977282e+01,1.629996972009761436e+01,1.629677445646745682e+01,1.629236315441837490e+01,1.628913688762294854e+01,1.628460905556082494e+01,1.628127042404886993e+01,1.627664261005860169e+01,1.627320880308026219e+01,1.626859796062296937e+01,1.626518280042892783e+01,1.626069186414029133e+01,1.625739313796711016e+01,1.625298440121790122e+01,1.624975830684466160e+01,1.624525826562709696e+01,1.624192575780989500e+01,1.623720610724622304e+01,1.623364176312946583e+01,1.622881669839449259e+01,1.622515548764095428e+01,1.622050919912460287e+01,1.621705136178076856e+01,1.621262378926753556e+01,1.620934274663439112e+01,1.620470740454286229e+01,1.620104637840769612e+01,1.619607015585289744e+01,1.619208781602878844e+01,1.618754260162059566e+01,1.618339922834448075e+01,1.618032608835284591e+01
1.643500858246830276e+01,1.643204980680230776e+01,1.642929999569864918e+01,1.642474209918695749e+01,1.642170933937589794e+01,1.641709064747826119e+01,1.641390341582852130e+01,1.640924804291686101e+01,1.640597963438613505e+01,1.640129532372234067e+01,1.639797314828934205e+01,1.639326217089103821e+01,1.638989856923367938e+01,1.638516116242806575e+01,1.638176229934077099e+01,1.637699793774183732e+01,1.637356709227088203e+01,1.636877500707797850e+01,1.636531399085864891e+01,1.636049339384684487e+01,1.635700322902998494e+01,1.635215341049639903e+01,1.634863467840205331e+01,1.634375504860230777e+01,1.634020807877049108e+01,1.633529818364563724e+01,1.633172316020834103e+01,1.632678268583603298e+01,1.632317970865138435e+01,1.631820848148340275e+01,1.631457760122264133e+01,1.630957558768931293e+01,1.630592844593937230e+01,1.630083219224298929e+01,1.629708087812751671e+01,1.629198223059839989e+01,1.628823626263867297e+01,1.628322151727062561e+01,1.627956167086997041e+01,1.627456008737501136e+01,1.627090695387871477e+01,1.626576247300863542e+01,1.626195855847690197e+01,1.625663693408397492e+01,1.625265911941556141e+01,1.624733321204763570e+01,1.624336845623137293e+01,1.623822008020590957e+01,1.623444270538903567e+01,1.622937989219446209e+01,1.622565650827144523e+01,1.622037776787127328e+01,1.621637766954385640e+01,1.621085553850225836e+01,1.620661612441179145e+01,1.620127738852312760e+01,1.619730495842667395e+01,1.619223012648394899e+01,1.618838012154946071e+01,1.618289708351928269e+01,1.617836800902443173e+01,1.617295055803192838e+01,1.616820340610395590e+01,1.616440680311530187e+01
1.645136847331064445e+01,1.644800720468712996e+01,1.644491388396985343e+01,1.643983477374981561e+01,1.643645147928430106e+01,1.643132094883501182e+01,1.642777935102948916e+01,1.642261615335215552e+01,1.641899102590142334e+01,1.641379906998498583e+01,1.641011713664944693e+01,1.640489600240030654e+01,1.640116866751894165e+01,1.639591668213489584e+01,1.639214928492338430e+01,1.638686454942650528e+01,1.638305970830051095e+01,1.637774045663550382e+01,1.637389947268343349e+01,1.636854418929118893e+01,1.636466769666494159e+01,1.635927514234580826e+01,1.635536343099707679e+01,1.634993263472282976e+01,1.634598581827392039e+01,1.634051605845138866e+01,1.633653416417699589e+01,1.633102494924253989e+01,1.632700796691755585e+01,1.632145901945197508e+01,1.631740692751671062e+01,1.631181817366036313e+01,1.630771998846368120e+01,1.630215886435980366e+01,1.629810779160629508e+01,1.629245663550030443e+01,1.628830695095694381e+01,1.628249415819129098e+01,1.627818620553959761e+01,1.627235088122952433e+01,1.626804196464526342e+01,1.626233929280371626e+01,1.625817608034546424e+01,1.625251287017033164e+01,1.624836735451344438e+01,1.624249963913549877e+01,1.623811606241171646e+01,1.623204641180953800e+01,1.622747471048048595e+01,1.622152220491450336e+01,1.621712168545488097e+01,1.621138722977504898e+01,1.620717665721759815e+01,1.620125625167595373e+01,1.619672391007863510e+01,1.619050333468263148e+01,1.618570149432511940e+01,1.617979036945938986e+01,1.617540991699508268e+01,1.616953967079802013e+01,1.616471149265414553e+01,1.615848168388572859e+01,1.615305179305568473e+01,1.614852798238917586e+01
