4.247076789743009506e+00,4.247425839158666783e+00,4.247174271718516358e+00,4.246803250462106938e+00,4.246549842214349724e+00,4.246151832995819220e+00,4.245866764671198723e+00,4.245458012819655735e+00,4.245161027468848047e+00,4.244725110606806240e+00,4.244389224984001174e+00,4.243972048884612214e+00,4.243636564160771840e+00,4.243320229535223476e+00,4.243065756254549292e+00,4.243028584552105187e+00
4.250955305626901826e+00,4.250585461162339485e+00,4.250052124364454009e+00,4.249170056394160788e+00,4.248567453483764744e+00,4.247645331999887475e+00,4.246987319082327517e+00,4.246036627747228565e+00,4.245334155826416378e+00,4.244401197709844809e+00,4.243706790837799225e+00,4.242726094691149363e+00,4.241936479543560345e+00,4.240923538786266711e+00,4.240015843643463178e+00,4.239592199596755151e+00
4.255083001853415148e+00,4.254260305440931589e+00,4.253394816239410403e+00,4.251953792313621250e+00,4.250969184918797161e+00,4.249468195213427890e+00,4.248397565359758765e+00,4.246849674877814174e+00,4.245718265406216219e+00,4.244077657980862561e+00,4.242837712674421446e+00,4.241248213389387622e+00,4.240045818858814819e+00,4.238420027596685458e+00,4.236889912037621109e+00,4.235683772474625464e+00
4.259253130519945252e+00,4.258020877535474646e+00,4.256817043462384653e+00,4.254809613758419928e+00,4.253437824012528345e+00,4.251349498413070194e+00,4.249860030498772367e+00,4.247706763325782120e+00,4.246138015317190373e+00,4.243972322876746084e+00,4.242329690495507677e+00,4.239972366307475760e+00,4.238121457021420291e+00,4.235840516998524485e+00,4.233826666300439356e+00,4.231814626799097923e+00
4.263439952967499558e+00,4.261811742985754492e+00,4.260266846259423978e+00,4.257690097303768795e+00,4.255929079804732673e+00,4.253250346117634528e+00,4.251339774967918927e+00,4.248578257247077161e+00,4.246534336091327688e+00,4.243663957335036763e+00,4.241573117657327252e+00,4.238716062702305720e+00,4.236429281229815658e+00,4.233347969469904548e+00,4.230731858875581786e+00,4.227980400088331869e+00
4.267636479775191560e+00,4.265617986737636258e+00,4.263730462128134668e+00,4.260582912849367965e+00,4.258431633862217680e+00,4.255160998717395060e+00,4.252828230150082156e+00,4.249457052530719814e+00,4.247027952024883035e+00,4.243568359581771254e+00,4.240884938094311885e+00,4.237318557158963550e+00,4.234630290937233532e+00,4.230917523222875509e+00,4.227680194449214390e+00,4.224167630670497608e+00
4.271840061855274762e+00,4.269434059591278086e+00,4.267202935608693792e+00,4.263483784603375959e+00,4.260941702864911917e+00,4.257078346593663021e+00,4.254322793303792594e+00,4.250341119962923742e+00,4.247374474785677201e+00,4.243303004968977277e+00,4.240315334356618671e+00,4.236056614433048928e+00,4.232752926704067775e+00,4.228435025743721098e+00,4.224668797929188813e+00,4.220375768054346999e+00
4.276049493808361746e+00,4.273257512269132974e+00,4.270682205587365665e+00,4.266391054804913985e+00,4.263457927520260426e+00,4.259001386222390551e+00,4.255822732197279912e+00,4.251230000669330877e+00,4.247926640872663917e+00,4.243160709354054205e+00,4.239572600854314643e+00,4.234759250301085132e+00,4.230971095848357066e+00,4.225942942865201779e+00,4.221647995219898419e+00,4.216600579750283906e+00
4.280264163938968025e+00,4.277087159446509190e+00,4.274167375484509535e+00,4.269304097049012370e+00,4.265979884047949255e+00,4.260929906547861634e+00,4.257327999482000358e+00,4.252123794718499994e+00,4.248257591085346618e+00,4.242964909961331799e+00,4.238963131259761319e+00,4.233436081433295861e+00,4.229178708068072723e+00,4.223472526945870165e+00,4.218617495438997445e+00,4.212836351178570027e+00
4.284483741383811051e+00,4.280922405129451214e+00,4.277658078841955813e+00,4.272222737037814078e+00,4.268507543145949157e+00,4.262864014168858517e+00,4.258838806633363561e+00,4.253022799629768258e+00,4.248812554350366533e+00,4.242775844253998230e+00,4.238300110861289660e+00,4.232151531664524846e+00,4.227369366292561992e+00,4.221004194787354002e+00,4.215591068716672218e+00,4.209080336407081013e+00
4.288708041869726983e+00,4.284762954001180901e+00,4.281154208853679144e+00,4.275147007759370510e+00,4.271041043228651191e+00,4.264803936375267668e+00,4.260355449139556328e+00,4.253927363530897843e+00,4.249188776692944813e+00,4.242628137082234296e+00,4.237653496878661663e+00,4.230854111302468468e+00,4.225576604999329078e+00,4.218536833972279965e+00,4.212567781033659031e+00,4.205331433026790577e+00
4.292936963336370759e+00,4.288608673655611270e+00,4.284655790178092616e+00,4.278077035170465336e+00,4.273580586081311417e+00,4.266749932144682234e+00,4.261878229053405853e+00,4.254837821313250501e+00,4.249702966002378624e+00,4.242431397130953741e+00,4.237021764500965126e+00,4.229566886740005138e+00,4.223783585261947415e+00,4.216073855655056768e+00,4.209546487852299457e+00,4.201588792726070665e+00
4.297170452339048374e+00,4.292459523259275933e+00,4.288162913366398321e+00,4.281012981099123316e+00,4.276126385991336321e+00,4.268702250082269778e+00,4.263407419668796550e+00,4.255754466553786308e+00,4.250145386215339549e+00,4.242293787436783425e+00,4.236374633342641971e+00,4.228282140172431980e+00,4.221995998001434103e+00,4.213614441859474091e+00,4.206527966200388491e+00,4.197851796474070696e+00
4.301408485313197971e+00,4.296315514240533595e+00,4.291675699432692781e+00,4.283955013510242438e+00,4.278678644287665200e+00,4.270661108486972779e+00,4.264943249881715914e+00,4.256677540031798657e+00,4.250627177222921382e+00,4.242121055953562703e+00,4.235755509807321850e+00,4.227001821890512545e+00,4.220212157099616057e+00,4.211158957914739709e+00,4.203512352163840227e+00,4.194120028323945704e+00
4.305651057556844741e+00,4.300176687566659162e+00,4.295194279979653196e+00,4.286903290744583650e+00,4.281237536720455594e+00,4.272626686456225009e+00,4.266485898234220642e+00,4.257607226308467219e+00,4.251111137876102397e+00,4.241978972127507852e+00,4.235124867598322851e+00,4.225728628075750670e+00,4.218432440215178048e+00,4.208707356185273696e+00,4.200499884797933348e+00,4.190393189401551588e+00
4.309898176466374409e+00,4.304043100122004084e+00,4.298718785804024556e+00,4.289857953255478584e+00,4.283803207621589060e+00,4.274599120703973298e+00,4.268035491858177544e+00,4.258543654301169212e+00,4.251593004105258977e+00,4.241832479637140274e+00,4.234509963331483995e+00,4.224458831141497228e+00,4.216658300391105563e+00,4.206259882736619105e+00,4.197490674764751795e+00,4.186671062000846710e+00
4.314149857234703234e+00,4.307914816319995843e+00,4.302249340328645921e+00,4.292819119516849469e+00,4.286375767749150079e+00,4.276578505387488960e+00,4.269592107906127865e+00,4.259486899811272487e+00,4.252092214238898826e+00,4.241694136414542626e+00,4.233897183592445934e+00,4.223195654976557911e+00,4.214888562940765304e+00,4.203816723936558475e+00,4.194484860295873752e+00,4.182953483294801877e+00
4.318406120035382934e+00,4.311791902843710389e+00,4.305786055875634233e+00,4.295786884308843590e+00,4.288955294158821374e+00,4.278564893509614109e+00,4.271155776204032861e+00,4.260436988943983039e+00,4.252590751355314502e+00,4.241563925931571610e+00,4.233290866237594763e+00,4.221937442686473752e+00,4.213124189187654522e+00,4.201377946203496805e+00,4.191482593353484276e+00,4.179240331888482096e+00
4.322666988135607014e+00,4.315674425317163276e+00,4.309329031654939968e+00,4.298761318375307283e+00,4.291541831183475431e+00,4.280558299112874998e+00,4.272726482444936913e+00,4.261393901856736832e+00,4.253099324803494952e+00,4.241437822799503543e+00,4.232691478184719358e+00,4.220684903177445157e+00,4.211364866557859798e+00,4.198943676901624400e+00,4.188483983205324002e+00,4.175531516586019620e+00
4.326932486607730333e+00,4.319562446199717520e+00,4.312878352807032911e+00,4.301742468871423419e+00,4.294135391997943252e+00,4.282558699828318716e+00,4.274304171552450349e+00,4.262357576535562131e+00,4.253613803371210977e+00,4.241319350720944570e+00,4.232097307964381550e+00,4.219438005785903556e+00,4.209610738071425828e+00,4.196513970066559018e+00,4.185489142765717929e+00,4.171826968098843125e+00
4.331202641436603606e+00,4.323456023471925036e+00,4.316434090099745546e+00,4.304730360256947108e+00,4.296735960465895232e+00,4.284566039533137527e+00,4.275888751012586475e+00,4.263327912441893019e+00,4.254134444139880067e+00,4.241206604399438085e+00,4.231509554477001167e+00,4.218196594888067530e+00,4.207861868810399031e+00,4.194088883441489557e+00,4.182498161987329155e+00,4.168126633598864039e+00
4.335477478894627090e+00,4.327355209842103534e+00,4.319996300031462511e+00,4.307724995427392400e+00,4.299343493091776658e+00,4.286580230979549988e+00,4.277480094067499294e+00,4.264304773951833383e+00,4.254661860492981340e+00,4.241099946798612130e+00,4.230927590906949476e+00,4.216960747955909916e+00,4.206118211718688826e+00,4.191668455573509533e+00,4.179511119315451495e+00,4.164430472334354150e+00
4.339757025101441457e+00,4.331260052299836794e+00,4.323565025184095134e+00,4.310726356956790184e+00,4.301957920974619931e+00,4.288601158320028084e+00,4.279078042718746033e+00,4.265287993554299106e+00,4.255195247123695346e+00,4.240999322250829096e+00,4.230351371894110812e+00,4.215730344686638986e+00,4.204379774440264228e+00,4.189252706461632947e+00,4.176528082077582305e+00,4.160738452630527995e+00
4.344041305713103540e+00,4.335170591902447690e+00,4.327140294725456471e+00,4.313734408374880758e+00,4.304579151704736262e+00,4.290628679490687603e+00,4.280682410518627634e+00,4.266277374799512856e+00,4.255734639216738557e+00,4.240904387681954546e+00,4.229780812628828102e+00,4.214505300639324936e+00,4.202646510009458325e+00,4.186841644660611372e+00,4.173549105681761517e+00,4.157050549608771739e+00
4.348330345703392830e+00,4.339086863718493170e+00,4.330722124996007949e+00,4.316749095432046879e+00,4.307207071170958024e+00,4.292662628436266559e+00,4.282292985145809361e+00,4.267272695003076599e+00,4.256279783704878028e+00,4.240815023496772973e+00,4.229215680939756083e+00,4.213285508774585963e+00,4.200918357503160117e+00,4.184435264348257633e+00,4.170574235923300677e+00,4.153366743465795707e+00
4.352624169211470218e+00,4.343008896876863645e+00,4.334310520137560907e+00,4.319770347324297433e+00,4.309841545262394824e+00,4.294702817172782794e+00,4.283909530771232710e+00,4.268273707718101662e+00,4.256830384338603501e+00,4.240730991828986163e+00,4.228655797188136667e+00,4.212070831436780516e+00,4.199195242342252499e+00,4.182033547554011577e+00,4.167603509284187879e+00,4.149687018189430532e+00
4.356922799437803029e+00,4.346936714686251868e+00,4.337905472736295565e+00,4.322798077862648469e+00,4.312482421458589954e+00,4.296749037691284911e+00,4.285531790225552307e+00,4.269280144991385306e+00,4.257386182390450635e+00,4.240652039178913313e+00,4.228100943836134995e+00,4.210861119458839674e+00,4.197477071025367046e+00,4.179636465124898947e+00,4.164636953674749620e+00,4.146011360569647586e+00
