1.142422709699159267e+00,-2.101786027689511727e-04,-9.945052248577779253e-06,1.788522886442267534e-05
1.142512213757641337e+00,-5.712783755111305872e-04,-1.638650567582777828e-05,1.773932633927777225e-05
1.142619852221436805e+00,-9.521941837674630094e-04,-2.851021501426576066e-05,2.352704989795617596e-05
1.142735359991945643e+00,-1.333168958752573019e-03,-4.055626452423299888e-05,2.992543929743185505e-05
1.142852498850132736e+00,-1.714203871201247509e-03,-5.162915602287265759e-05,3.714060254461637456e-05
1.142970371123626983e+00,-2.095298552480251431e-03,-6.220690588401578403e-05,4.456150391679569722e-05
1.143088470484920904e+00,-2.476452820241115127e-03,-7.229692366339524057e-05,5.212423014708256197e-05
1.143206609572024135e+00,-2.857666487563359503e-03,-8.192911982182748964e-05,5.977879909913053069e-05
1.143324710326156346e+00,-3.238939399897611260e-03,-9.112355444543251970e-05,6.749840131026196843e-05
1.143442745164522822e+00,-3.620271433542598949e-03,-9.989536105385610210e-05,7.526718241031293832e-05
1.143560711977222866e+00,-4.001662493767044193e-03,-1.082568750877949126e-04,8.307504214974392731e-05
1.143678622306339765e+00,-4.383112513143549993e-03,-1.162186841017626149e-04,9.091514546183399048e-05
1.143796495287054515e+00,-4.764621450124295610e-03,-1.237901952093195534e-04,9.878262630699796709e-05
1.143914354342967954e+00,-5.146189287807301227e-03,-1.309799649604204141e-04,1.066738664000782544e-04
1.144032225294334459e+00,-5.527816032849686145e-03,-1.377959033252024179e-04,1.145860716552232761e-04
1.144150135233640064e+00,-5.909501714494447278e-03,-1.442454067494963743e-04,1.225170120900953563e-04
1.144268111837840829e+00,-6.291246383690440869e-03,-1.503354491051850372e-04,1.304648559521393025e-04
1.144386182938883056e+00,-6.673050112286305069e-03,-1.560726464831380111e-04,1.384280604411480819e-04
1.144504376251989086e+00,-7.054912992288775442e-03,-1.614633050698172090e-04,1.464052976521412752e-04
1.144622719202931460e+00,-7.436835135174402200e-03,-1.665134576816496015e-04,1.543954031218985889e-04
1.144741238818815177e+00,-7.818816671248951522e-03,-1.712288924453214678e-04,1.623973392791133730e-04
1.144859961660342540e+00,-8.200857749048440226e-03,-1.756151758763452309e-04,1.704101689601056346e-04
1.144978913781573127e+00,-8.582958534777196391e-03,-1.796776718539505602e-04,1.784330358675229045e-04
1.145098120708095024e+00,-8.965119211778782571e-03,-1.834215575158698597e-04,1.864651499145081326e-04
1.145217607427617468e+00,-9.347339980036339924e-03,-1.868518367904303812e-04,1.945057760637108890e-04
1.145337398388958761e+00,-9.729621055699966270e-03,-1.899733520787511010e-04,2.025542257081958120e-04
1.145457517506696776e+00,-1.011196267063918519e-02,-1.927907944617862634e-04,2.106098499281977565e-04
1.145577988169606432e+00,-1.049436507201767510e-02,-1.953087127117419941e-04,2.186720341494086117e-04
1.145698833251578952e+00,-1.087682852188848193e-02,-1.975315213207651244e-04,2.267401938632201963e-04
1.145820075124119208e+00,-1.125935329680860519e-02,-1.994635077098849685e-04,2.348137711597336752e-04
1.145941735669780748e+00,-1.164193968747073704e-02,-2.011088387463000338e-04,2.428922318897935861e-04
1.146063836296092875e+00,-1.202458799835132153e-02,-2.024715666710252826e-04,2.509750633189755664e-04
1.146186397949665370e+00,-1.240729854737482318e-02,-2.035556345184597049e-04,2.590617721706656162e-04
