5.723433698948592330e-01,5.723864953869153283e-01,5.723676159431977384e-01,5.723348109527940375e-01,5.723081096288438196e-01,5.722703209172486094e-01,5.722417698577378919e-01,5.722023579162507367e-01,5.721731331906632079e-01,5.721331502766292543e-01,5.721037511041563439e-01,5.720634137007715170e-01,5.720334135041873491e-01,5.719923343822437278e-01,5.719624581919086070e-01,5.719230634524418155e-01,5.718956248632717232e-01,5.718615944101600457e-01,5.718398687938677227e-01,5.718170761699411520e-01,5.718074385350521149e-01,5.718110297479690463e-01
5.728713920163485129e-01,5.728223134848212661e-01,5.727619554300360516e-01,5.726768707401190817e-01,5.726118929212572484e-01,5.725223625642258396e-01,5.724556686222452839e-01,5.723642125226456878e-01,5.722965961922722444e-01,5.722040408781070564e-01,5.721358012004303939e-01,5.720430479254827727e-01,5.719755624075422151e-01,5.718840242596467949e-01,5.718164742372107145e-01,5.717231324744660448e-01,5.716532039740602755e-01,5.715570231356331687e-01,5.714863516852708436e-01,5.713969104511470443e-01,5.713422639827941962e-01,5.713199608113905814e-01
5.734245223824868676e-01,5.733168704105158220e-01,5.732148632717785075e-01,5.730742301056409582e-01,5.729676809517841862e-01,5.728214015211677834e-01,5.727126555025352506e-01,5.725636947528239817e-01,5.724536282216351468e-01,5.723029849352916365e-01,5.721918989210970086e-01,5.720389782893607888e-01,5.719250557924075995e-01,5.717687360520981033e-01,5.716544408570901625e-01,5.715011554276197003e-01,5.713902376843440489e-01,5.712400884105151011e-01,5.711274512650882373e-01,5.709703857623075196e-01,5.708516031406447588e-01,5.707519682485527879e-01
5.739824061465856886e-01,5.738214446181281181e-01,5.736778700422346944e-01,5.734811569007315368e-01,5.733324708399281100e-01,5.731285857384711413e-01,5.729771282359747975e-01,5.727697618943881075e-01,5.726165923621784337e-01,5.724070015762779962e-01,5.722524677555774764e-01,5.720421619568917260e-01,5.718884987160895994e-01,5.716776773936868006e-01,5.715197380441985331e-01,5.712994597107788897e-01,5.711351140045607400e-01,5.709143236592602033e-01,5.707558957127669697e-01,5.705456601550584761e-01,5.703816334807546573e-01,5.701944427684007000e-01
5.745425450776104892e-01,5.743298446029708737e-01,5.741445921208387926e-01,5.738914608366409986e-01,5.737003453396894992e-01,5.734384496145733534e-01,5.732439873576254952e-01,5.729778347113556602e-01,5.727812990557310524e-01,5.725124300658483989e-01,5.723142276452284349e-01,5.720415758511726567e-01,5.718391289119172383e-01,5.715639234438649741e-01,5.713645210583720990e-01,5.710949030422928230e-01,5.708938007696204853e-01,5.706106593922651848e-01,5.703959157804923130e-01,5.701125534735786982e-01,5.699067548910554670e-01,5.696508490452875106e-01
5.751042611721319808e-01,5.748403899581242538e-01,5.746133022144217506e-01,5.743034761352755480e-01,5.740697178535838496e-01,5.737495335405321528e-01,5.735118748194081295e-01,5.731866989261263923e-01,5.729466419596824789e-01,5.726183121981549551e-01,5.723763295294302944e-01,5.720469342132189494e-01,5.718054311106708365e-01,5.714713253051602049e-01,5.712203964976757531e-01,5.708773707059716651e-01,5.706295370635821040e-01,5.702977176839967299e-01,5.700469720992863421e-01,5.696933518856823753e-01,5.694286877492330534e-01,5.691115200034697619e-01
5.756672962897616541e-01,5.753524426112420764e-01,5.750833476296266511e-01,5.747165756084040567e-01,5.744399928716515946e-01,5.740612935053156507e-01,5.737802879440939696e-01,5.733959096385394805e-01,5.731122185211843245e-01,5.727243010596999584e-01,5.724384644759794583e-01,5.720456660639462454e-01,5.717552147894715553e-01,5.713629170823304460e-01,5.710774468616616195e-01,5.706814839824847496e-01,5.703812146945489436e-01,5.699734643855171035e-01,5.696807478849321704e-01,5.692802267803818150e-01,5.689605107107911230e-01,5.685716275195655811e-01
5.762315320947487551e-01,5.758657094665582399e-01,5.755544301462615087e-01,5.751304752437481627e-01,5.748109033187186467e-01,5.743734891813860877e-01,5.740490074700744794e-01,5.736052770039729021e-01,5.732778607297605022e-01,5.728302583422087979e-01,5.725005163636669447e-01,5.720515388987194028e-01,5.717212367229018710e-01,5.712630978993337161e-01,5.709228050655342779e-01,5.704668055784883895e-01,5.701345406057508614e-01,5.696686441775666854e-01,5.693164029637016732e-01,5.688540262846011331e-01,5.684979647495798094e-01,5.680344885914496711e-01
5.767969075122587608e-01,5.763800380180718053e-01,5.760263959162335023e-01,5.755450313799851392e-01,5.751823161286058195e-01,5.746860030847793510e-01,5.743179276938986666e-01,5.738147111057111394e-01,5.734434897684609345e-01,5.729361190932500403e-01,5.725624287124534417e-01,5.720494900763820612e-01,5.716716905017639183e-01,5.711615983795724771e-01,5.707852875515819768e-01,5.702598297368680624e-01,5.698724167838046251e-01,5.693562179810752744e-01,5.689668946177912634e-01,5.684281594544388083e-01,5.680286057614711837e-01,5.675029392648167637e-01
5.773633885159356049e-01,5.768953426785603522e-01,5.764991599005742096e-01,5.759601663361842983e-01,5.755541606768240781e-01,5.749987751141230063e-01,5.745869965670097335e-01,5.740241708188050795e-01,5.736090724716286227e-01,5.730418609353453707e-01,5.726241875503844669e-01,5.720552985877562779e-01,5.716356354657362582e-01,5.710553806540489274e-01,5.706303064645013023e-01,5.700575523295463576e-01,5.696275803686132733e-01,5.690354037957330302e-01,5.686066477556130927e-01,5.680146065458123728e-01,5.675567669029916162e-01,5.669731597623975938e-01
5.779309551308672299e-01,5.774115725950953459e-01,5.769726724772160642e-01,5.763758361654615081e-01,5.759263984523270707e-01,5.753117746848576131e-01,5.748561893326312733e-01,5.742336389347768577e-01,5.737745966838292411e-01,5.731474775013893908e-01,5.726857892806102024e-01,5.720528054549468555e-01,5.715879971522027647e-01,5.709578318708415923e-01,5.704882524717862502e-01,5.698424284032387321e-01,5.693745371794753929e-01,5.687296739681513280e-01,5.682430635638382466e-01,5.675961507357678570e-01,5.670925267565155581e-01,5.664419647558796012e-01
