5.835720370894134090e-01,5.835287657652290516e-01,5.834313049790531558e-01,5.833175335096802971e-01,5.832321552721038138e-01,5.831307096171235438e-01,5.830613276703590087e-01,5.830369033985431937e-01
5.840470752759836515e-01,5.837947103213340094e-01,5.835924314226429432e-01,5.833281113310611055e-01,5.831362902678646210e-01,5.828807223358355438e-01,5.826817719709637133e-01,5.825285481542079591e-01
5.845513280916536658e-01,5.841106019267684468e-01,5.837846269799518151e-01,5.833539597271238941e-01,5.830367704159252762e-01,5.826236918547779142e-01,5.823141592686404966e-01,5.819696335888036032e-01
5.850605241141014767e-01,5.844337761323354918e-01,5.839808476432604145e-01,5.833814151760831068e-01,5.829461477845885309e-01,5.823641641550266757e-01,5.819386009905949120e-01,5.814281020245145593e-01
5.855716701823184822e-01,5.847588165594174159e-01,5.841775182863750970e-01,5.834083385988794168e-01,5.828449127077970360e-01,5.821062610906211354e-01,5.815617518163329613e-01,5.808914421809824313e-01
5.860839943630266058e-01,5.850843807299326294e-01,5.843738387688568459e-01,5.834344490672530581e-01,5.827505193877520195e-01,5.818442127536388453e-01,5.811845807368196670e-01,5.803574163501374894e-01
5.865972290234010567e-01,5.854100374279391783e-01,5.845696277825389586e-01,5.834596752256925312e-01,5.826494485159141590e-01,5.815840463538681782e-01,5.808055948809660585e-01,5.798253288596302291e-01
5.871112691619267965e-01,5.857356426423361295e-01,5.847648807829244344e-01,5.834841532195410574e-01,5.825507854875513480e-01,5.813215300340565106e-01,5.804269322777005913e-01,5.792943386438151876e-01
5.876260736908546223e-01,5.860611632963574902e-01,5.849596550969360376e-01,5.835079665343297917e-01,5.824497529764636194e-01,5.810594235715592637e-01,5.800474888437128218e-01,5.787645130904832680e-01
5.881416300583063306e-01,5.863866118152369911e-01,5.851540315108666457e-01,5.835312468984152900e-01,5.823487963205943307e-01,5.807965842057291050e-01,5.796680540926435476e-01,5.782355804369914143e-01
5.886579393933647486e-01,5.867120219850466833e-01,5.853480961598792609e-01,5.835540999725186140e-01,5.822471304590621788e-01,5.805336364167429375e-01,5.792884718388294774e-01,5.777075381410532451e-01
5.891750097342368653e-01,5.870374365050305965e-01,5.855419357082292109e-01,5.835766344907997727e-01,5.821451829500247088e-01,5.802705100570262342e-01,5.789089280919406111e-01,5.771803282406146041e-01
5.896928526227330769e-01,5.873629018055288586e-01,5.857356339534438572e-01,5.835989490161078708e-01,5.820429753437073028e-01,5.800073470530734410e-01,5.785294804072911301e-01,5.766539372735550728e-01
5.902114813331611476e-01,5.876884651482900956e-01,5.859292710041815733e-01,5.836211365009486007e-01,5.819406294161093562e-01,5.797442207844237805e-01,5.781502088842827014e-01,5.761283545382263060e-01
5.907309099006584630e-01,5.880141732548155309e-01,5.861229228829828442e-01,5.836432834617749643e-01,5.818382343711888671e-01,5.794812116683638603e-01,5.777711790679656012e-01,5.756035774055102694e-01
5.912511525790927758e-01,5.883400715886833998e-01,5.863166615562998008e-01,5.836654707960853283e-01,5.817358774333969418e-01,5.792183915759696600e-01,5.773924518929618444e-01,5.750796069595063287e-01
5.917722235339722969e-01,5.886662040200663082e-01,5.865105550973925830e-01,5.836877742241282085e-01,5.816336391443939213e-01,5.789558275678239330e-01,5.770140830965041490e-01,5.745564469159251120e-01
5.922941366696098386e-01,5.889926126895013159e-01,5.867046679149002797e-01,5.837102647623998442e-01,5.815315947865473678e-01,5.786935820526636354e-01,5.766361241834623286e-01,5.740341026435672456e-01
5.928169055345816618e-01,5.893193379818051358e-01,5.868990609982809303e-01,5.837330091393579945e-01,5.814298148250306442e-01,5.784317133324441418e-01,5.762586229717477915e-01,5.735125805663039422e-01
5.933405432737085539e-01,5.896464185593111029e-01,5.870937921592821462e-01,5.837560701652844131e-01,5.813283653697840503e-01,5.781702760133669017e-01,5.758816240468404013e-01,5.729918877608981553e-01
5.938650626079501338e-01,5.899738914260460598e-01,5.872889162595360535e-01,5.837795070585578561e-01,5.812273085655137450e-01,5.779093213571100396e-01,5.755051691271837466e-01,5.724720316859706060e-01
5.943904758310759595e-01,5.903017920066478963e-01,5.874844854203875588e-01,5.838033757332439233e-01,5.811267029289163277e-01,5.776488975803991677e-01,5.751292973643805650e-01,5.719530199970712658e-01
5.949167948163237574e-01,5.906301542307681451e-01,5.876805492140819709e-01,5.838277290529010344e-01,5.810266036417505164e-01,5.773890501128342567e-01,5.747540455933094483e-01,5.714348604195735870e-01
5.954440310288545701e-01,5.909590106177172730e-01,5.878771548369220445e-01,5.838526170551565642e-01,5.809270628071022680e-01,5.771298218205180852e-01,5.743794485431501506e-01,5.709175606609925291e-01
5.959721955413963546e-01,5.912883923584578705e-01,5.880743472656891901e-01,5.838780871510965698e-01,5.808281296748144529e-01,5.768712532014271810e-01,5.740055390174048089e-01,5.704011283505360241e-01
5.965012990514375613e-01,5.916183293934351717e-01,5.882721693988758327e-01,5.839041843029717516e-01,5.807298508409406423e-01,5.766133825572465899e-01,5.736323480489844417e-01,5.698855709976812234e-01
5.970313518989543988e-01,5.919488504855594524e-01,5.884706621843098784e-01,5.839309511832257993e-01,5.806322704251971611e-01,5.763562461454514452e-01,5.732599050349916903e-01,5.693708959641621270e-01
5.975623640840425077e-01,5.922799832881285864e-01,5.886698647346805258e-01,5.839584283174030777e-01,5.805354302296883429e-01,5.760998783146977775e-01,5.728882378547852650e-01,5.688571104454764882e-01
5.980943452840724595e-01,5.926117544077605936e-01,5.888698144323478711e-01,5.839866542131071370e-01,5.804393698816052716e-01,5.758443116260153483e-01,5.725173729741442896e-01,5.683442214591889474e-01
5.986273048701509225e-01,5.929441894625576692e-01,5.890705470246818676e-01,5.840156654768501321e-01,5.803441269621363308e-01,5.755895769618514235e-01,5.721473355377690861e-01,5.678322358380978319e-01
5.991612519227692557e-01,5.932773131357977903e-01,5.892720967110298691e-01,5.840454969203539015e-01,5.802497371234558443e-01,5.753357036246572465e-01,5.717781494519168506e-01,5.673211602268861675e-01
5.996961952465909018e-01,5.936111492254876332e-01,5.894744962222845386e-01,5.840761816576406362e-01,5.801562341953602209e-01,5.750827194264249709e-01,5.714098374586321638e-01,5.668110010812651423e-01
6.002321433843702536e-01,5.939457206901129771e-01,5.896777768939032160e-01,5.841077511940394595e-01,5.800636502828706575e-01,5.748306507703550006e-01,5.710424212027642721e-01,5.663017646688892626e-01
6.007691046300176474e-01,5.942810496909135543e-01,5.898819687331198214e-01,5.841402355080776987e-01,5.799720158559128480e-01,5.745795227256440540e-01,5.706759212927595692e-01,5.657934570715198452e-01
6.013070870408475654e-01,5.946171576309949858e-01,5.900871004809994380e-01,5.841736631270915137e-01,5.798813598320218254e-01,5.743293590962338380e-01,5.703103573560505124e-01,5.652860841880522624e-01
6.018460984490493493e-01,5.949540651915606881e-01,5.902931996698985717e-01,5.842080611972640947e-01,5.797917096528820702e-01,5.740801824842336476e-01,5.699457480897253125e-01,5.647796517381277193e-01
6.023861464724282744e-01,5.952917923655308696e-01,5.905002926768279092e-01,5.842434555487074910e-01,5.797030913553926634e-01,5.738320143486252967e-01,5.695821113070596020e-01,5.642741652661235063e-01
6.029272385244649479e-01,5.956303584887875369e-01,5.907084047731491205e-01,5.842798707561187577e-01,5.796155296378496802e-01,5.735848750597737356e-01,5.692194639804025735e-01,5.637696301453691827e-01
6.034693818237379936e-01,5.959697822692617830e-01,5.909175601709812931e-01,5.843173301954717180e-01,5.795290479217607427e-01,5.733387839501927763e-01,5.688578222808322593e-01,5.632660515824791103e-01
6.040125834027589846e-01,5.963100818140625314e-01,5.911277820666512861e-01,5.843558560971429117e-01,5.794436684097367118e-01,5.730937593619547243e-01,5.684972016149432150e-01,5.627634346217220696e-01
6.045568501162602582e-01,5.966512746548207069e-01,5.913390926814769966e-01,5.843954695958215595e-01,5.793594121398452090e-01,5.728498186910830903e-01,5.681376166590738075e-01,5.622617841493677826e-01
6.051021886489781343e-01,5.969933777714095946e-01,5.915515133001399972e-01,5.844361907775077469e-01,5.792762990367614773e-01,5.726069784292203702e-01,5.677790813912387824e-01,5.617611048979715971e-01
6.056486055229675092e-01,5.973364076141838286e-01,5.917650643068734784e-01,5.844780387238648345e-01,5.791943479600103473e-01,5.723652542028290213e-01,5.674216091210022572e-01,5.612614014505673543e-01
