1.160022148823799393e+00,-2.334851170170682000e-04,1.799673671945209441e-05,1.111874741573266878e-05,2.321328349869436480e-06,2.505305985367554250e-06,-6.892653578410672111e-07,1.080422328763848763e-06,-5.921964639061215452e-07,8.131311634920757037e-07,-5.661684242866914241e-07,5.761165722244915299e-07,-4.605310758958036654e-07,4.740434621794756276e-07,-3.910832055212254410e-07,3.714310728569758524e-07,-3.204126469424917190e-07,3.073446510765132089e-07,-2.653927170790694456e-07,2.449483166369614828e-07,-2.142047815880711303e-07,1.975726352208828640e-07,-1.707673021887666856e-07,1.525636891090698111e-07,-1.304794228601221032e-07,1.142602981058296607e-07,-9.443519947147441251e-08,7.821999976811294664e-08,-6.065755635189379325e-08,4.544928505160333865e-08,-2.942551445301450075e-08,1.464702615444624101e-08
1.159938209160954692e+00,-5.800442933805265155e-04,1.779743087712212790e-05,1.204638058993449945e-05,7.069724992861707233e-06,5.609476035150920761e-06,2.740456523439051273e-06,1.868679788596429303e-06,4.359704186963735129e-07,6.613797655838880851e-07,1.265795115715749597e-07,4.237152625838000453e-07,-3.607546013219969927e-08,2.400922991712198251e-07,-5.885802967925402029e-08,1.866441720621558886e-07,-7.439737686326663990e-08,1.284965055262099476e-07,-6.680158615157694157e-08,1.040877257926786648e-07,-6.092395011744744515e-08,7.647081943108063884e-08,-4.968899049260112194e-08,6.011480015557027490e-08,-4.013801423565291349e-08,4.298598383668805756e-08,-2.922176825449936122e-08,2.982107719876753160e-08,-1.936327291909845094e-08,1.700082699011146170e-08,-9.354660538384018675e-09,5.516842885300299315e-09
1.159902761271595084e+00,-9.667039298323250318e-04,1.370889207401304599e-05,9.162818458845894964e-06,5.626614529963920239e-06,4.723549701092901246e-06,3.560148545675000803e-06,3.445837869279306728e-06,2.239477436239648706e-06,1.577363906935403542e-06,6.426346589932449560e-07,6.079550470073150081e-07,2.984973160313764140e-07,3.810723607439517324e-07,1.006081295738814330e-07,2.006698844453369546e-07,4.206792817568194565e-08,1.475110488063924308e-07,2.504422351792823243e-09,9.233578061526581671e-08,-7.723157967971447380e-09,7.155741146760291604e-08,-1.507064081905998276e-08,4.831651076193238525e-08,-1.401269278031563176e-08,3.596056712259695920e-08,-1.264649807786307964e-08,2.307976234043260244e-08,-8.540437542066403598e-09,1.346409466990855508e-08,-4.537420296261973629e-09,4.249956060686788106e-09
1.159889276219352228e+00,-1.353359977236220923e-03,1.119741622002817794e-05,6.801104597430399079e-06,4.783657451798038404e-06,3.988570978468840983e-06,2.492142227733269016e-06,2.177980568087789850e-06,1.884807638088525222e-06,2.175955538263191213e-06,1.667405677381345735e-06,1.252906760696240185e-06,6.088800327975346649e-07,5.314945388523728553e-07,3.221324163492356174e-07,3.432496935296125429e-07,1.403820208273343084e-07,1.816237181276325607e-07,7.560851297654103131e-08,1.303900767930105120e-07,3.069879364494924878e-08,7.865234287647571154e-08,1.436654999944966121e-08,5.821587311695408662e-08,2.507650360148230839e-09,3.685257156512897203e-08,-4.644660384924524654e-10,2.499243831333153310e-08,-2.275366995513339319e-09,1.346348175394057600e-08,-1.252084924456553505e-09,4.357858601755637551e-09
1.159881768171590277e+00,-1.740016488818524332e-03,1.113530951759103549e-05,5.683213439399217859e-06,3.540824322052467735e-06,3.069921498105327579e-06,2.469383992145107731e-06,2.179701844022942717e-06,1.257000150094948060e-06,1.033792955379420064e-06,9.762532883796082306e-07,1.370022612013927638e-06,1.189933384908824221e-06,9.520893813281042228e-07,5.030404483137573823e-07,4.354051321431295918e-07,2.881560828282836439e-07,2.919464458517317951e-07,1.384125210592002109e-07,1.574173035222281580e-07,7.984667661515426618e-08,1.119415774138154962e-07,3.797531938573312643e-08,6.646564973964222411e-08,2.095209197783796939e-08,4.686735555377297135e-08,8.520231864603180355e-09,2.767319683821822807e-08,4.080169609295414279e-09,1.576859141351472093e-08,1.029608607573673229e-09,4.825970796595857593e-09
1.159880360092989227e+00,-2.126674615327738688e-03,1.094342888050339746e-05,5.059397093351222785e-06,3.390215028344989792e-06,2.584439593856027728e-06,1.735797637627059520e-06,1.693759571782952125e-06,1.483887326426350933e-06,1.349795145514417344e-06,6.783342073593198740e-07,4.575700301829264960e-07,4.493744680932748592e-07,8.357812531414182677e-07,8.153789223218355087e-07,6.957083232006500140e-07,3.832392683200680494e-07,3.376395300361267893e-07,2.331200032010434520e-07,2.347865580426544696e-07,1.176523029412616939e-07,1.287643321022310938e-07,6.998422340254162322e-08,9.070815969831544368e-08,3.481815961253482278e-08,5.290094951784958532e-08,1.970323062908466150e-08,3.467758114689134530e-08,8.589154752887406818e-09,1.780612687851679254e-08,3.728346297492135530e-09,5.703153352354384253e-09
1.159881424002618733e+00,-2.513335808468578764e-03,1.167452330855939246e-05,4.696308026495149557e-06,2.906897875146630811e-06,2.268127187844606180e-06,1.737537607060350708e-06,1.448299668663395601e-06,9.630647217137577876e-07,1.019384921094670937e-06,9.692392063222546317e-07,9.136924326684503495e-07,3.903597445313253256e-07,1.604893054016690024e-07,1.391118402103985741e-07,4.751884351006374629e-07,5.281824467934237433e-07,4.858203294377805292e-07,2.713123175091328165e-07,2.481523501823845734e-07,1.741215694128772640e-07,1.787256492125771645e-07,9.009670195059965581e-08,9.912094674604035593e-08,5.423125024278750012e-08,6.843255809848430848e-08,2.689302083721265349e-08,3.829307337497797614e-08,1.460634225982498924e-08,2.148827569874167676e-08,5.394203241200490329e-09,6.429580388933597845e-09
1.159886311335435183e+00,-2.900001235498283342e-03,1.219302536733038456e-05,4.487923795199258437e-06,2.897676977418319963e-06,2.049675181294615539e-06,1.422363226629818483e-06,1.275451473225358567e-06,1.026987316656707838e-06,8.847504709805394107e-07,5.543921789224158514e-07,6.349035775905786938e-07,6.650532823788968262e-07,6.662795870304716317e-07,2.516883758907351165e-07,1.972239077607795821e-08,-3.448281701151634238e-08,2.349924365790956315e-07,3.133089520063886413e-07,3.192163322753710508e-07,1.754734316320501891e-07,1.712699763990743751e-07,1.193568673579607775e-07,1.278248907155693503e-07,6.221019297435442102e-08,7.100723219697138711e-08,3.723075167041609013e-08,4.666958354059697056e-08,1.742112632537734518e-08,2.318428780987563664e-08,7.761304075988573192e-09,7.419877330605562094e-09
1.159893088983506182e+00,-3.286672210635999125e-03,1.327493443529711992e-05,4.379241771830522101e-06,2.639862807748884904e-06,1.892638128875995251e-06,1.443363564373762592e-06,1.148562588712889743e-06,8.007979003690594844e-07,7.820317005180314751e-07,6.477828687475803426e-07,5.629676234370634136e-07,3.110876661549522026e-07,3.918669120427792363e-07,4.663849119089513717e-07,5.165560853642725547e-07,1.946225064441975405e-07,-2.687509391419151683e-08,-1.151516904889134107e-07,8.414206112243582947e-08,1.595819956105685999e-07,1.920077013287113665e-07,9.864415187639530291e-08,1.084101709401472102e-07,7.265624364140039343e-08,8.394940724108963803e-08,3.734423612217815241e-08,4.566692434664412770e-08,2.148042122646076635e-08,2.625918708431401738e-08,8.086160105218176408e-09,7.728722301036938802e-09
1.159902889012275784e+00,-3.673349889488756320e-03,1.420084345954766847e-05,4.338038662466889295e-06,2.669765770162840779e-06,1.778060262229040275e-06,1.258826023487098766e-06,1.050435614991396954e-06,8.390660917361250637e-07,7.046448812090058689e-07,4.729547536728821722e-07,4.978711214001854679e-07,4.219409210142952005e-07,3.652414121814787085e-07,1.557016745049044637e-07,2.250019822264137659e-07,3.221062091010584716e-07,4.155178546516591354e-07,1.791049161160504499e-07,-1.752970529844688485e-08,-1.311712572605455707e-07,2.169788858134846787e-09,5.869878074370952353e-08,1.008061850690626648e-07,4.185497220728431889e-08,5.981302402457630563e-08,3.587400097316596759e-08,4.781331954537351714e-08,1.727809228416893328e-08,2.361626391233356825e-08,8.402996925886696555e-09,7.878971107488919046e-09
