5.815087182348835926e-01,5.815516074582514072e-01,5.815347726023445407e-01,5.815056116004418962e-01,5.814819146315546305e-01,5.814484107993777018e-01,5.814231536051659432e-01,5.813883953710062835e-01,5.813627296230113872e-01,5.813277544569841471e-01,5.813021503863222694e-01,5.812674098995026517e-01,5.812420799950260841e-01,5.812075767027021778e-01,5.811821567822805790e-01,5.811475051717219786e-01,5.811223447059498115e-01,5.810889189261507770e-01,5.810653536481447112e-01,5.810352497860601373e-01,5.810150829538812678e-01,5.809912763799380819e-01,5.809772281710064989e-01,5.809644878577651106e-01,5.809616428484546402e-01,5.809705805957644520e-01
5.820402228274634826e-01,5.819893789430984343e-01,5.819336024997993073e-01,5.818566751130536119e-01,5.817984228654596857e-01,5.817185384250171953e-01,5.816593143343129491e-01,5.815785302982874327e-01,5.815191807395033718e-01,5.814384584688880864e-01,5.813793696093588759e-01,5.812990318493373998e-01,5.812402499281715818e-01,5.811606186786636430e-01,5.811028361395537134e-01,5.810246322002011743e-01,5.809673109195359064e-01,5.808886865142439682e-01,5.808304306425469132e-01,5.807504952210271743e-01,5.806916944089124399e-01,5.806135029335225406e-01,5.805590098716627567e-01,5.804956102214561264e-01,5.804634989478119067e-01,5.804658698470231970e-01
5.825970981276255012e-01,5.824863217364624202e-01,5.823917479465438030e-01,5.822643223801867718e-01,5.821686505413201651e-01,5.820379802024163718e-01,5.819413334218161982e-01,5.818096856943256734e-01,5.817130536634164129e-01,5.815816837163492181e-01,5.814855403475500673e-01,5.813548101331292850e-01,5.812591262272704951e-01,5.811282501173150594e-01,5.810315258411973272e-01,5.808991308651075824e-01,5.808023420976818896e-01,5.806719705797445119e-01,5.805777432341705513e-01,5.804512273013662238e-01,5.803589932664759976e-01,5.802331283010544460e-01,5.801390351970752146e-01,5.800125431629586936e-01,5.799256766806653030e-01,5.798747102400007014e-01
5.831588110969706529e-01,5.829933626697244575e-01,5.828601030670016447e-01,5.826817085090434389e-01,5.825481029597473492e-01,5.823658607852648661e-01,5.822311835276888781e-01,5.820478386268430615e-01,5.819133180127797900e-01,5.817304973774193311e-01,5.815967325564702639e-01,5.814148779183032634e-01,5.812817913432338779e-01,5.811013148142332163e-01,5.809699827918466397e-01,5.807909489188587404e-01,5.806583807289469323e-01,5.804748463530187141e-01,5.803383535241144475e-01,5.801526503706232463e-01,5.800183498814429628e-01,5.798417702170278742e-01,5.797157510319358442e-01,5.795462304739323889e-01,5.794155038026668203e-01,5.792889857580636459e-01
5.837228306492076024e-01,5.835042450487260002e-01,5.833321842831724613e-01,5.831024945342865307e-01,5.829306711489194992e-01,5.826964632426526736e-01,5.825234689637203145e-01,5.822880525308719024e-01,5.821153821446214405e-01,5.818807769270507579e-01,5.817091619743814945e-01,5.814758935154431541e-01,5.813052067932571454e-01,5.810718556490914732e-01,5.808997373052875446e-01,5.806655393786908093e-01,5.804955744813181662e-01,5.802668087890321402e-01,5.800996001479049591e-01,5.798689668860284030e-01,5.796959431962753762e-01,5.794592844147041788e-01,5.792884842529150147e-01,5.790700811536064752e-01,5.789095871263277848e-01,5.787183034784176838e-01
5.842884631587696997e-01,5.840172751403878149e-01,5.838062462375296358e-01,5.835249755970276508e-01,5.833147140058779767e-01,5.830282544961109537e-01,5.828167470337165534e-01,5.825290173803014948e-01,5.823180384602418824e-01,5.820314592845052815e-01,5.818218750442569753e-01,5.815370591501058950e-01,5.813286975524174505e-01,5.810461329630871585e-01,5.808401207465800908e-01,5.805576381502560723e-01,5.803474587249468630e-01,5.800584414902413277e-01,5.798475156119706764e-01,5.795665492437268584e-01,5.793638128416757072e-01,5.790859567814574671e-01,5.788759385661532697e-01,5.785958236856323378e-01,5.783974048916772359e-01,5.781563258072581757e-01
5.848554489060595607e-01,5.845318058914024117e-01,5.842816224974227701e-01,5.839485124048607867e-01,5.836996268111483976e-01,5.833606860205815536e-01,5.831105123828920211e-01,5.827702844783800851e-01,5.825208772756089726e-01,5.821821829699570516e-01,5.819345409753268195e-01,5.815980758788328320e-01,5.813519759926540909e-01,5.810157700769632561e-01,5.807684368061027946e-01,5.804337461787514307e-01,5.801912841464078596e-01,5.798606432541931754e-01,5.796140116815602372e-01,5.792730663429536131e-01,5.790243271968608108e-01,5.786974989387669854e-01,5.784606638248581678e-01,5.781331372825359027e-01,5.778872428995993626e-01,5.775959940105042101e-01
5.854236676075239565e-01,5.850475426510841626e-01,5.847580139104326946e-01,5.843728224277835448e-01,5.840851468163529292e-01,5.836935246519946441e-01,5.834045549928751351e-01,5.830116775179310373e-01,5.827237484834000281e-01,5.823328346536689182e-01,5.820470743022271298e-01,5.816588995786771132e-01,5.813750349995306932e-01,5.809900673071357602e-01,5.807088181129496096e-01,5.803217998118185283e-01,5.800346987461120207e-01,5.796461214134654982e-01,5.793661073045455190e-01,5.789860054557498525e-01,5.787013017360801426e-01,5.783121168151630354e-01,5.780341690730466109e-01,5.776686480455189843e-01,5.773850838358651760e-01,5.770360552308033686e-01
5.859930577484586678e-01,5.855643329306488010e-01,5.852352697905636170e-01,5.847977716530669001e-01,5.844711544174978624e-01,5.840266714498435485e-01,5.836987915721827402e-01,5.832531328712394769e-01,5.829266006304316683e-01,5.824833759663340382e-01,5.821594434525029227e-01,5.817195018751125657e-01,5.813978398941578307e-01,5.809587528140721657e-01,5.806366094487531715e-01,5.802018449301712399e-01,5.798850865882246852e-01,5.794473190587520195e-01,5.791212942336853020e-01,5.786834520508732371e-01,5.783692529369949265e-01,5.779388171755328596e-01,5.776158485461683201e-01,5.771955159074565467e-01,5.768843009956544643e-01,5.764794175089503758e-01
5.865635851638498766e-01,5.860820939969747512e-01,5.857133115941242085e-01,5.852232926362419541e-01,5.848575927189304524e-01,5.843600865316148640e-01,5.839931952128391002e-01,5.834946410058339250e-01,5.831294373039576096e-01,5.826338287757111267e-01,5.822716838793392524e-01,5.817799384448452127e-01,5.814204663427101627e-01,5.809329164606832352e-01,5.805760340420891286e-01,5.800848225509905864e-01,5.797234862956497370e-01,5.792384445341056676e-01,5.788844236642354257e-01,5.783936060286692937e-01,5.780318736800665880e-01,5.775549448375102424e-01,5.772047661198218549e-01,5.767267725009000978e-01,5.763784728009747615e-01,5.759268585254214701e-01
5.871352305993330356e-01,5.866007782206281718e-01,5.861920963539946072e-01,5.856493541778216017e-01,5.852444417152156131e-01,5.846937647605553456e-01,5.842877710774114774e-01,5.837362207450339513e-01,5.833322863140748549e-01,5.827842306239996439e-01,5.823838381646030404e-01,5.818402539067258905e-01,5.814429528135316438e-01,5.809010451543561437e-01,5.805044216427031056e-01,5.799688360381590746e-01,5.795752985668343182e-01,5.790312995903569293e-01,5.786338109260247276e-01,5.781019563143067197e-01,5.777078829314701292e-01,5.771693974624686474e-01,5.767841586214539351e-01,5.762658263626315724e-01,5.758728977190464837e-01,5.753752589844531862e-01
