R,LDG,LDGQ,LDP,LDPQ,WD
0.0795,1.53E-02,1.89E-04,7.20E-02,1.07E-02,4.84E-03
0.0805,1.53E-02,1.94E-04,7.18E-02,1.08E-02,4.88E-03
0.0815,1.52E-02,1.98E-04,7.15E-02,1.09E-02,4.92E-03
0.0825,1.52E-02,2.02E-04,7.13E-02,1.10E-02,4.96E-03
0.0835,1.52E-02,2.06E-04,7.10E-02,1.11E-02,5.00E-03
0.0845,1.52E-02,2.11E-04,7.08E-02,1.12E-02,5.04E-03
0.0855,1.52E-02,2.15E-04,7.05E-02,1.13E-02,5.08E-03
0.0865,1.52E-02,2.19E-04,7.03E-02,1.14E-02,5.12E-03
0.0875,1.52E-02,2.24E-04,7.00E-02,1.14E-02,5.15E-03
0.0885,1.52E-02,2.28E-04,6.98E-02,1.15E-02,5.19E-03
0.0895,1.51E-02,2.33E-04,6.95E-02,1.16E-02,5.23E-03
0.0905,1.51E-02,2.37E-04,6.93E-02,1.17E-02,5.26E-03
0.0915,1.51E-02,2.42E-04,6.90E-02,1.18E-02,5.30E-03
0.0925,1.51E-02,2.46E-04,6.88E-02,1.19E-02,5.34E-03
0.0935,1.51E-02,2.51E-04,6.86E-02,1.20E-02,5.37E-03
0.0945,1.51E-02,2.55E-04,6.83E-02,1.20E-02,5.41E-03
0.0955,1.51E-02,2.60E-04,6.81E-02,1.21E-02,5.44E-03
0.0965,1.50E-02,2.65E-04,6.78E-02,1.22E-02,5.47E-03
0.0975,1.50E-02,2.69E-04,6.76E-02,1.23E-02,5.51E-03
0.0985,1.50E-02,2.74E-04,6.74E-02,1.24E-02,5.54E-03
0.0995,1.50E-02,2.79E-04,6.71E-02,1.24E-02,5.57E-03
0.1005,1.50E-02,2.83E-04,6.69E-02,1.25E-02,5.60E-03
0.1015,1.50E-02,2.88E-04,6.66E-02,1.26E-02,5.64E-03
0.1025,1.50E-02,2.93E-04,6.64E-02,1.27E-02,5.67E-03
0.1035,1.49E-02,2.98E-04,6.62E-02,1.27E-02,5.70E-03
0.1045,1.49E-02,3.03E-04,6.59E-02,1.28E-02,5.73E-03
0.1055,1.49E-02,3.08E-04,6.57E-02,1.29E-02,5.76E-03
0.1065,1.49E-02,3.13E-04,6.55E-02,1.30E-02,5.79E-03
0.1075,1.49E-02,3.18E-04,6.52E-02,1.30E-02,5.82E-03
0.1085,1.49E-02,3.22E-04,6.50E-02,1.31E-02,5.85E-03
0.1095,1.48E-02,3.27E-04,6.48E-02,1.32E-02,5.87E-03
0.1105,1.48E-02,3.32E-04,6.46E-02,1.32E-02,5.90E-03
0.1115,1.48E-02,3.37E-04,6.43E-02,1.33E-02,5.93E-03
0.1125,1.48E-02,3.43E-04,6.41E-02,1.34E-02,5.96E-03
0.1135,1.48E-02,3.48E-04,6.39E-02,1.34E-02,5.98E-03
0.1145,1.48E-02,3.53E-04,6.36E-02,1.35E-02,6.01E-03
0.1155,1.47E-02,3.58E-04,6.34E-02,1.36E-02,6.04E-03
0.1165,1.47E-02,3.63E-04,6.32E-02,1.36E-02,6.06E-03
0.1175,1.47E-02,3.68E-04,6.30E-02,1.37E-02,6.09E-03
0.1185,1.47E-02,3.73E-04,6.27E-02,1.38E-02,6.11E-03
0.1195,1.47E-02,3.78E-04,6.25E-02,1.38E-02,6.14E-03
0.1205,1.46E-02,3.84E-04,6.23E-02,1.39E-02,6.16E-03
0.1215,1.46E-02,3.89E-04,6.21E-02,1.39E-02,6.19E-03
0.1225,1.46E-02,3.94E-04,6.18E-02,1.40E-02,6.21E-03
0.1235,1.46E-02,3.99E-04,6.16E-02,1.41E-02,6.23E-03
0.1245,1.46E-02,4.05E-04,6.14E-02,1.41E-02,6.26E-03
0.1255,1.46E-02,4.10E-04,6.12E-02,1.42E-02,6.28E-03
0.1265,1.45E-02,4.15E-04,6.10E-02,1.42E-02,6.30E-03
0.1275,1.45E-02,4.20E-04,6.07E-02,1.43E-02,6.32E-03
0.1285,1.45E-02,4.26E-04,6.05E-02,1.44E-02,6.34E-03
0.1295,1.45E-02,4.31E-04,6.03E-02,1.44E-02,6.37E-03
0.1305,1.45E-02,4.36E-04,6.01E-02,1.45E-02,6.39E-03
0.1315,1.44E-02,4.42E-04,5.99E-02,1.45E-02,6.41E-03
0.1325,1.44E-02,4.47E-04,5.96E-02,1.46E-02,6.43E-03
0.1335,1.44E-02,4.53E-04,5.94E-02,1.46E-02,6.45E-03
0.1345,1.44E-02,4.58E-04,5.92E-02,1.47E-02,6.47E-03
0.1355,1.43E-02,4.63E-04,5.90E-02,1.47E-02,6.48E-03
0.1365,1.43E-02,4.69E-04,5.88E-02,1.48E-02,6.50E-03
0.1375,1.43E-02,4.74E-04,5.86E-02,1.48E-02,6.52E-03
0.1385,1.43E-02,4.80E-04,5.84E-02,1.49E-02,6.54E-03
0.1395,1.43E-02,4.85E-04,5.82E-02,1.49E-02,6.56E-03
0.1405,1.42E-02,4.91E-04,5.79E-02,1.50E-02,6.57E-03
0.1415,1.42E-02,4.96E-04,5.77E-02,1.50E-02,6.59E-03
0.1425,1.42E-02,5.02E-04,5.75E-02,1.51E-02,6.61E-03
0.1435,1.42E-02,5.07E-04,5.73E-02,1.51E-02,6.62E-03
0.1445,1.41E-02,5.13E-04,5.71E-02,1.51E-02,6.64E-03
0.1455,1.41E-02,5.18E-04,5.69E-02,1.52E-02,6.66E-03
0.1465,1.41E-02,5.24E-04,5.67E-02,1.52E-02,6.67E-03
0.1475,1.41E-02,5.29E-04,5.65E-02,1.53E-02,6.69E-03
0.1485,1.41E-02,5.35E-04,5.63E-02,1.53E-02,6.70E-03
0.1495,1.40E-02,5.40E-04,5.61E-02,1.54E-02,6.72E-03
0.1505,1.40E-02,5.46E-04,5.59E-02,1.54E-02,6.73E-03
0.1515,1.40E-02,5.51E-04,5.57E-02,1.54E-02,6.74E-03
0.1525,1.40E-02,5.57E-04,5.54E-02,1.55E-02,6.76E-03
0.1535,1.39E-02,5.62E-04,5.52E-02,1.55E-02,6.77E-03
0.1545,1.39E-02,5.68E-04,5.50E-02,1.55E-02,6.78E-03
0.1555,1.39E-02,5.74E-04,5.48E-02,1.56E-02,6.80E-03
0.1565,1.39E-02,5.79E-04,5.46E-02,1.56E-02,6.81E-03
0.1575,1.38E-02,5.85E-04,5.44E-02,1.57E-02,6.82E-03
0.1585,1.38E-02,5.90E-04,5.42E-02,1.57E-02,6.83E-03
0.1595,1.38E-02,5.96E-04,5.40E-02,1.57E-02,6.84E-03
0.1605,1.38E-02,6.01E-04,5.38E-02,1.58E-02,6.85E-03
0.1615,1.37E-02,6.07E-04,5.36E-02,1.58E-02,6.87E-03
0.1625,1.37E-02,6.13E-04,5.34E-02,1.58E-02,6.88E-03
0.1635,1.37E-02,6.18E-04,5.32E-02,1.59E-02,6.89E-03
0.1645,1.37E-02,6.24E-04,5.30E-02,1.59E-02,6.90E-03
0.1655,1.36E-02,6.29E-04,5.28E-02,1.59E-02,6.91E-03
0.1665,1.36E-02,6.35E-04,5.26E-02,1.59E-02,6.91E-03
0.1675,1.36E-02,6.41E-04,5.24E-02,1.60E-02,6.92E-03
