R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,7.12E-04,5.37E-05,1.68E-02,1.04E-04,7.28E-05
0.0015,1.04E-03,7.34E-05,2.49E-02,1.95E-04,1.23E-04
0.0025,9.20E-04,5.38E-05,2.24E-02,2.54E-04,1.41E-04
0.0035,9.53E-04,4.18E-05,2.31E-02,3.42E-04,1.82E-04
0.0045,9.14E-04,3.25E-05,2.21E-02,4.25E-04,2.20E-04
0.0055,9.26E-04,2.78E-05,2.21E-02,5.15E-04,2.65E-04
0.0065,9.09E-04,2.37E-05,2.16E-02,6.00E-04,3.06E-04
0.0075,9.14E-04,2.09E-05,2.15E-02,6.89E-04,3.50E-04
0.0085,9.03E-04,1.77E-05,2.11E-02,7.75E-04,3.91E-04
0.0095,9.07E-04,1.59E-05,2.10E-02,8.62E-04,4.34E-04
0.0105,9.00E-04,1.42E-05,2.07E-02,9.47E-04,4.74E-04
0.0115,9.02E-04,1.31E-05,2.06E-02,1.03E-03,5.16E-04
0.0125,8.97E-04,1.19E-05,2.03E-02,1.12E-03,5.55E-04
0.0135,8.99E-04,1.11E-05,2.02E-02,1.20E-03,5.95E-04
0.0145,8.94E-04,1.02E-05,1.98E-02,1.28E-03,6.34E-04
0.0155,8.96E-04,9.67E-06,1.98E-02,1.37E-03,6.73E-04
0.0165,8.91E-04,8.94E-06,1.94E-02,1.45E-03,7.11E-04
0.0175,8.93E-04,8.58E-06,1.94E-02,1.53E-03,7.49E-04
0.0185,8.88E-04,7.99E-06,1.91E-02,1.60E-03,7.85E-04
0.0195,8.90E-04,7.75E-06,1.90E-02,1.68E-03,8.22E-04
0.0205,8.86E-04,7.25E-06,1.87E-02,1.76E-03,8.57E-04
0.0215,8.87E-04,7.09E-06,1.86E-02,1.84E-03,8.93E-04
0.0225,8.83E-04,6.68E-06,1.84E-02,1.91E-03,9.27E-04
0.0235,8.83E-04,6.56E-06,1.82E-02,1.98E-03,9.62E-04
0.0245,8.80E-04,6.22E-06,1.80E-02,2.06E-03,9.95E-04
0.0255,8.80E-04,6.13E-06,1.79E-02,2.13E-03,1.03E-03
0.0265,8.76E-04,5.86E-06,1.77E-02,2.20E-03,1.06E-03
0.0275,8.76E-04,5.80E-06,1.75E-02,2.27E-03,1.09E-03
0.0285,8.73E-04,5.59E-06,1.74E-02,2.34E-03,1.12E-03
0.0295,8.72E-04,5.53E-06,1.72E-02,2.40E-03,1.16E-03
0.0305,8.69E-04,5.38E-06,1.70E-02,2.47E-03,1.19E-03
0.0315,8.68E-04,5.34E-06,1.69E-02,2.53E-03,1.22E-03
0.0325,8.65E-04,5.24E-06,1.67E-02,2.60E-03,1.24E-03
0.0335,8.63E-04,5.21E-06,1.65E-02,2.66E-03,1.27E-03
0.0345,8.61E-04,5.15E-06,1.64E-02,2.72E-03,1.30E-03
0.0355,8.59E-04,5.14E-06,1.62E-02,2.78E-03,1.33E-03
0.0365,8.57E-04,5.11E-06,1.61E-02,2.84E-03,1.36E-03
0.0375,8.54E-04,5.12E-06,1.59E-02,2.90E-03,1.38E-03
