R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,1.107860E-03,1.711290E-04,2.318320E-02,2.329396E-04,1.892642E-04
0.0015,9.735509E-04,6.240163E-05,2.282948E-02,2.053907E-04,1.299607E-04
0.0025,9.414349E-04,3.708899E-05,2.255539E-02,2.709513E-04,1.529851E-04
0.0035,9.278348E-04,2.640522E-05,2.230208E-02,3.517226E-04,1.895358E-04
0.0045,9.202336E-04,2.053154E-05,2.205931E-02,4.369118E-04,2.299599E-04
0.0055,9.152828E-04,1.681995E-05,2.182393E-02,5.236737E-04,2.717213E-04
0.0065,9.117167E-04,1.426562E-05,2.159449E-02,6.109268E-04,3.138816E-04
0.0075,9.089508E-04,1.240377E-05,2.137017E-02,6.981569E-04,3.560163E-04
0.0085,9.066780E-04,1.098978E-05,2.115042E-02,7.850779E-04,3.979072E-04
0.0095,9.047211E-04,9.882601E-06,2.093486E-02,8.715109E-04,4.394319E-04
0.0105,9.029711E-04,8.995155E-06,2.072318E-02,9.573335E-04,4.805176E-04
0.0115,9.013568E-04,8.270790E-06,2.051512E-02,1.042456E-03,5.211191E-04
0.0125,8.998304E-04,7.671053E-06,2.031050E-02,1.126809E-03,5.612076E-04
0.0135,8.983579E-04,7.168929E-06,2.010914E-02,1.210337E-03,6.007647E-04
0.0145,8.969153E-04,6.744887E-06,1.991088E-02,1.292995E-03,6.397785E-04
0.0155,8.954845E-04,6.384464E-06,1.971559E-02,1.374743E-03,6.782417E-04
0.0165,8.940521E-04,6.076722E-06,1.952316E-02,1.455549E-03,7.161498E-04
0.0175,8.926080E-04,5.813241E-06,1.933348E-02,1.535384E-03,7.535010E-04
0.0185,8.911440E-04,5.587438E-06,1.914645E-02,1.614223E-03,7.902944E-04
0.0195,8.896542E-04,5.394092E-06,1.896199E-02,1.692045E-03,8.265309E-04
0.0205,8.881335E-04,5.229013E-06,1.878000E-02,1.768831E-03,8.622118E-04
0.0215,8.865782E-04,5.088799E-06,1.860043E-02,1.844564E-03,8.973392E-04
0.0225,8.849851E-04,4.970661E-06,1.842320E-02,1.919231E-03,9.319156E-04
