R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,3.903058E-03,1.529209E-04,4.683050E-02,2.398689E-04,1.771460E-04
0.0015,3.769380E-03,5.546867E-05,4.641762E-02,2.563696E-04,1.480657E-04
0.0025,3.737286E-03,3.303323E-05,4.607630E-02,3.602295E-04,1.913847E-04
0.0035,3.723668E-03,2.357159E-05,4.575326E-02,4.779623E-04,2.462085E-04
0.0045,3.716027E-03,1.839113E-05,4.543928E-02,5.996318E-04,3.042950E-04
0.0055,3.711016E-03,1.514257E-05,4.513163E-02,7.225980E-04,3.634653E-04
0.0065,3.707365E-03,1.293337E-05,4.482910E-02,8.458591E-04,4.229059E-04
0.0075,3.704488E-03,1.135052E-05,4.453103E-02,9.689451E-04,4.822458E-04
0.0085,3.702073E-03,1.017667E-05,4.423697E-02,1.091601E-03,5.412933E-04
0.0095,3.699942E-03,9.286566E-06,4.394663E-02,1.213673E-03,5.999399E-04
0.0105,3.697984E-03,8.602992E-06,4.365975E-02,1.335059E-03,6.581207E-04
0.0115,3.696126E-03,8.075800E-06,4.337616E-02,1.455688E-03,7.157951E-04
0.0125,3.694317E-03,7.671029E-06,4.309569E-02,1.575507E-03,7.729369E-04
0.0135,3.692523E-03,7.364880E-06,4.281821E-02,1.694475E-03,8.295289E-04
0.0145,3.690717E-03,7.140173E-06,4.254359E-02,1.812559E-03,8.855600E-04
0.0155,3.688881E-03,6.984187E-06,4.227173E-02,1.929731E-03,9.410228E-04
0.0165,3.686999E-03,6.887277E-06,4.200254E-02,2.045967E-03,9.959129E-04
0.0175,3.685061E-03,6.841973E-06,4.173594E-02,2.161248E-03,1.050228E-03
0.0185,3.683057E-03,6.842371E-06,4.147183E-02,2.275556E-03,1.103966E-03
0.0195,3.680980E-03,6.883719E-06,4.121017E-02,2.388876E-03,1.157127E-03
0.0205,3.678824E-03,6.962126E-06,4.095086E-02,2.501194E-03,1.209712E-03
0.0215,3.676584E-03,7.074360E-06,4.069387E-02,2.612499E-03,1.261723E-03
0.0225,3.674256E-03,7.217702E-06,4.043912E-02,2.722780E-03,1.313159E-03
0.0235,3.671838E-03,7.389836E-06,4.018657E-02,2.832027E-03,1.364025E-03
0.0245,3.669326E-03,7.588774E-06,3.993616E-02,2.940231E-03,1.414321E-03
0.0255,3.666718E-03,7.812795E-06,3.968785E-02,3.047386E-03,1.464051E-03
0.0265,3.664011E-03,8.060400E-06,3.944160E-02,3.153484E-03,1.513217E-03
0.0275,3.661206E-03,8.330276E-06,3.919735E-02,3.258519E-03,1.561821E-03
