R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,2.213111E-04,5.800782E-05,8.328862E-03,9.414262E-05,7.222156E-05
0.0015,3.045388E-04,7.711207E-05,1.229807E-02,1.606367E-04,1.118500E-04
0.0025,2.550422E-04,5.713039E-05,1.097968E-02,1.910043E-04,1.136976E-04
0.0035,2.589328E-04,4.637207E-05,1.127458E-02,2.523348E-04,1.399690E-04
0.0045,2.429032E-04,3.717454E-05,1.074878E-02,3.075947E-04,1.633086E-04
0.0055,2.444857E-04,3.178194E-05,1.075930E-02,3.712875E-04,1.941415E-04
0.0065,2.364807E-04,2.713986E-05,1.042457E-02,4.304208E-04,2.214809E-04
0.0075,2.371135E-04,2.443202E-05,1.034677E-02,4.931487E-04,2.519529E-04
0.0085,2.322295E-04,2.180621E-05,1.008805E-02,5.525877E-04,2.797178E-04
0.0095,2.324377E-04,2.001131E-05,9.990899E-03,6.137255E-04,3.090710E-04
0.0105,2.287601E-04,1.798550E-05,9.786262E-03,6.722936E-04,3.363340E-04
0.0115,2.284850E-04,1.630860E-05,9.678053E-03,7.315998E-04,3.644819E-04
0.0125,2.259069E-04,1.473359E-05,9.493557E-03,7.887399E-04,3.909749E-04
0.0135,2.257033E-04,1.371289E-05,9.383235E-03,8.460623E-04,4.179444E-04
0.0145,2.235886E-04,1.258283E-05,9.219506E-03,9.014698E-04,4.435323E-04
0.0155,2.233668E-04,1.192995E-05,9.106549E-03,9.567011E-04,4.693313E-04
0.0165,2.215530E-04,1.101390E-05,8.956303E-03,1.010167E-03,4.939327E-04
0.0175,2.212110E-04,1.041675E-05,8.845324E-03,1.063227E-03,5.185869E-04
0.0185,2.196167E-04,9.646174E-06,8.704355E-03,1.114609E-03,5.421879E-04
0.0195,2.191936E-04,9.191776E-06,8.595953E-03,1.165438E-03,5.657400E-04
0.0205,2.177431E-04,8.578141E-06,8.462287E-03,1.214640E-03,5.883378E-04
0.0215,2.172353E-04,8.222187E-06,8.356764E-03,1.263198E-03,6.108013E-04
0.0225,2.158877E-04,7.777343E-06,8.228286E-03,1.310155E-03,6.323896E-04
0.0235,2.152902E-04,7.411762E-06,8.127015E-03,1.356423E-03,6.538048E-04
0.0245,2.139634E-04,7.023330E-06,8.003400E-03,1.401092E-03,6.744110E-04
0.0255,2.133341E-04,6.802388E-06,7.905666E-03,1.445060E-03,6.947881E-04
0.0265,2.120292E-04,6.509846E-06,7.785331E-03,1.487418E-03,7.144093E-04
0.0275,2.113448E-04,6.323197E-06,7.691507E-03,1.529089E-03,7.337848E-04
0.0285,2.100250E-04,6.055537E-06,7.574165E-03,1.569130E-03,7.524536E-04
0.0295,2.092919E-04,5.899721E-06,7.484329E-03,1.608511E-03,7.708428E-04
0.0305,2.079513E-04,5.664033E-06,7.369785E-03,1.646246E-03,7.885604E-04
0.0315,2.071761E-04,5.541484E-06,7.283615E-03,1.683348E-03,8.059965E-04
0.0325,2.058093E-04,5.332908E-06,7.171989E-03,1.718802E-03,8.227935E-04
0.0335,2.049938E-04,5.238622E-06,7.088887E-03,1.753639E-03,8.392860E-04
0.0345,2.035985E-04,5.051454E-06,6.980577E-03,1.786847E-03,8.551746E-04
0.0355,2.027425E-04,4.980932E-06,6.899785E-03,1.819438E-03,8.707614E-04
0.0365,2.013198E-04,4.811366E-06,6.795306E-03,1.850444E-03,8.857579E-04
0.0375,2.004213E-04,4.760965E-06,6.716080E-03,1.880811E-03,9.004481E-04
0.0385,1.989749E-04,4.606766E-06,6.615868E-03,1.909664E-03,9.145827E-04
0.0395,1.980309E-04,4.573341E-06,6.537648E-03,1.937837E-03,9.284009E-04
0.0405,1.965657E-04,4.433393E-06,6.441927E-03,1.964585E-03,9.416802E-04
0.0415,1.955731E-04,4.414141E-06,6.364409E-03,1.990605E-03,9.546559E-04
0.0425,1.940942E-04,4.288053E-06,6.273168E-03,2.015296E-03,9.671021E-04
0.0435,1.930508E-04,4.280501E-06,6.196274E-03,2.039209E-03,9.792460E-04
0.0445,1.915626E-04,4.168275E-06,6.109331E-03,2.061890E-03,9.908859E-04
0.0455,1.904674E-04,4.170328E-06,6.033131E-03,2.083751E-03,1.002219E-03
0.0465,1.889731E-04,4.072111E-06,5.950205E-03,2.104470E-03,1.013065E-03
0.0475,1.878265E-04,4.082082E-06,5.874853E-03,2.124335E-03,1.023614E-03
0.0485,1.863283E-04,3.998024E-06,5.795611E-03,2.143141E-03,1.033682E-03
0.0495,1.851322E-04,4.014626E-06,5.721302E-03,2.161071E-03,1.043465E-03
0.0505,1.836310E-04,3.944798E-06,5.645393E-03,2.178015E-03,1.052779E-03
0.0515,1.823882E-04,3.967096E-06,5.572341E-03,2.194073E-03,1.061811E-03
0.0525,1.808845E-04,3.911452E-06,5.499414E-03,2.209207E-03,1.070393E-03
0.0535,1.795984E-04,3.938799E-06,5.427830E-03,2.223455E-03,1.078693E-03
0.0545,1.780923E-04,3.897160E-06,5.357556E-03,2.236833E-03,1.086558E-03
0.0555,1.767667E-04,3.929131E-06,5.287628E-03,2.249335E-03,1.094149E-03
0.0565,1.752581E-04,3.901179E-06,5.219716E-03,2.261013E-03,1.101314E-03
0.0575,1.738969E-04,3.937528E-06,5.151594E-03,2.271835E-03,1.108216E-03
0.0585,1.723856E-04,3.922808E-06,5.085803E-03,2.281869E-03,1.114699E-03
0.0595,1.709931E-04,3.963429E-06,5.019589E-03,2.291074E-03,1.120929E-03
0.0605,1.694789E-04,3.961369E-06,4.955735E-03,2.299524E-03,1.126750E-03
0.0615,1.680590E-04,4.006259E-06,4.891483E-03,2.307175E-03,1.132325E-03
0.0625,1.665419E-04,4.016198E-06,4.829431E-03,2.314099E-03,1.137504E-03
0.0635,1.650987E-04,4.065432E-06,4.767152E-03,2.320260E-03,1.142441E-03
0.0645,1.635788E-04,4.086648E-06,4.706814E-03,2.325719E-03,1.146997E-03
0.0655,1.621161E-04,4.140348E-06,4.646483E-03,2.330451E-03,1.151313E-03
0.0665,1.605938E-04,4.172096E-06,4.587803E-03,2.334507E-03,1.155263E-03
0.0675,1.591152E-04,4.230405E-06,4.529371E-03,2.337872E-03,1.158979E-03
0.0685,1.575911E-04,4.271945E-06,4.472318E-03,2.340586E-03,1.162340E-03
0.0695,1.561000E-04,4.335006E-06,4.415722E-03,2.342644E-03,1.165472E-03
0.0705,1.545749E-04,4.385628E-06,4.360277E-03,2.344077E-03,1.168261E-03
0.0715,1.530747E-04,4.453568E-06,4.305448E-03,2.344888E-03,1.170828E-03
0.0725,1.515495E-04,4.512611E-06,4.251596E-03,2.345101E-03,1.173063E-03
0.0735,1.500432E-04,4.585534E-06,4.198467E-03,2.344725E-03,1.175081E-03
0.0745,1.485192E-04,4.652394E-06,4.146193E-03,2.343779E-03,1.176779E-03
0.0755,1.470097E-04,4.730372E-06,4.094701E-03,2.342274E-03,1.178267E-03
0.0765,1.454883E-04,4.804511E-06,4.043986E-03,2.340227E-03,1.179445E-03
0.0775,1.439783E-04,4.887584E-06,3.994075E-03,2.337652E-03,1.180419E-03
0.0785,1.424610E-04,4.968528E-06,3.944898E-03,2.334563E-03,1.181094E-03
0.0795,1.409531E-04,5.056706E-06,3.896518E-03,2.330975E-03,1.181571E-03
0.0805,1.394416E-04,5.144044E-06,3.848849E-03,2.326901E-03,1.181760E-03
0.0815,1.379384E-04,5.237310E-06,3.801959E-03,2.322357E-03,1.181757E-03
0.0825,1.364344E-04,5.330687E-06,3.755765E-03,2.317354E-03,1.181477E-03
0.0835,1.349381E-04,5.429000E-06,3.710326E-03,2.311909E-03,1.181010E-03
0.0845,1.334435E-04,5.528113E-06,3.665575E-03,2.306032E-03,1.180278E-03
0.0855,1.319564E-04,5.631415E-06,3.621550E-03,2.299740E-03,1.179364E-03
0.0865,1.304731E-04,5.736002E-06,3.578206E-03,2.293044E-03,1.178196E-03
0.0875,1.289975E-04,5.844223E-06,3.535562E-03,2.285958E-03,1.176851E-03
0.0885,1.275273E-04,5.954058E-06,3.493591E-03,2.278495E-03,1.175263E-03
0.0895,1.260654E-04,6.067114E-06,3.452296E-03,2.270668E-03,1.173503E-03
0.0905,1.246103E-04,6.182004E-06,3.411661E-03,2.262489E-03,1.171512E-03
0.0915,1.231641E-04,6.299806E-06,3.371682E-03,2.253971E-03,1.169353E-03
0.0925,1.217260E-04,6.419577E-06,3.332350E-03,2.245127E-03,1.166975E-03
0.0935,1.202976E-04,6.542032E-06,3.293655E-03,2.235967E-03,1.164433E-03
0.0945,1.188785E-04,6.666531E-06,3.255592E-03,2.226506E-03,1.161683E-03
0.0955,1.174698E-04,6.793540E-06,3.218150E-03,2.216753E-03,1.158775E-03
0.0965,1.160715E-04,6.922627E-06,3.181323E-03,2.206722E-03,1.155669E-03
0.0975,1.146845E-04,7.054088E-06,3.145101E-03,2.196423E-03,1.152410E-03
0.0985,1.133089E-04,7.187634E-06,3.109478E-03,2.185868E-03,1.148964E-03
0.0995,1.119454E-04,7.323444E-06,3.074445E-03,2.175068E-03,1.145370E-03
0.1005,1.105944E-04,7.461323E-06,3.039994E-03,2.164034E-03,1.141598E-03
0.1015,1.092563E-04,7.601377E-06,3.006117E-03,2.152777E-03,1.137684E-03
0.1025,1.079315E-04,7.743469E-06,2.972808E-03,2.141307E-03,1.133602E-03
0.1035,1.066204E-04,7.887656E-06,2.940057E-03,2.129635E-03,1.129385E-03
0.1045,1.053236E-04,8.033843E-06,2.907857E-03,2.117771E-03,1.125008E-03
0.1055,1.040414E-04,8.182052E-06,2.876200E-03,2.105724E-03,1.120501E-03
0.1065,1.027741E-04,8.332212E-06,2.845080E-03,2.093506E-03,1.115845E-03
0.1075,1.015222E-04,8.484326E-06,2.814487E-03,2.081125E-03,1.111065E-03
0.1085,1.002861E-04,8.638338E-06,2.784415E-03,2.068592E-03,1.106144E-03
0.1095,9.906602E-05,8.794235E-06,2.754855E-03,2.055915E-03,1.101104E-03
0.1105,9.786242E-05,8.951972E-06,2.725801E-03,2.043104E-03,1.095933E-03
0.1115,9.667563E-05,9.111527E-06,2.697245E-03,2.030167E-03,1.090650E-03
0.1125,9.550594E-05,9.272857E-06,2.669179E-03,2.017114E-03,1.085244E-03
0.1135,9.435366E-05,9.435935E-06,2.641596E-03,2.003953E-03,1.079732E-03
0.1145,9.321910E-05,9.600721E-06,2.614489E-03,1.990692E-03,1.074104E-03
0.1155,9.210252E-05,9.767183E-06,2.587850E-03,1.977340E-03,1.068378E-03
0.1165,9.100418E-05,9.935281E-06,2.561672E-03,1.963904E-03,1.062544E-03
0.1175,8.992433E-05,1.010498E-05,2.535948E-03,1.950394E-03,1.056617E-03
0.1185,8.886318E-05,1.027624E-05,2.510671E-03,1.936816E-03,1.050592E-03
0.1195,8.782095E-05,1.044902E-05,2.485832E-03,1.923177E-03,1.044479E-03
0.1205,8.679783E-05,1.062328E-05,2.461426E-03,1.909486E-03,1.038276E-03
0.1215,8.579396E-05,1.079897E-05,2.437445E-03,1.895750E-03,1.031992E-03
0.1225,8.480952E-05,1.097606E-05,2.413882E-03,1.881975E-03,1.025625E-03
0.1235,8.384461E-05,1.115450E-05,2.390730E-03,1.868168E-03,1.019184E-03
0.1245,8.289935E-05,1.133425E-05,2.367983E-03,1.854337E-03,1.012667E-03
0.1255,8.197382E-05,1.151525E-05,2.345633E-03,1.840487E-03,1.006083E-03
0.1265,8.106807E-05,1.169747E-05,2.323673E-03,1.826624E-03,9.994298E-04
0.1275,8.018216E-05,1.188085E-05,2.302097E-03,1.812756E-03,9.927162E-04
0.1285,7.931608E-05,1.206533E-05,2.280898E-03,1.798888E-03,9.859411E-04
0.1295,7.846984E-05,1.225088E-05,2.260070E-03,1.785026E-03,9.791118E-04
0.1305,7.764340E-05,1.243744E-05,2.239605E-03,1.771175E-03,9.722281E-04
0.1315,7.683671E-05,1.262494E-05,2.219497E-03,1.757341E-03,9.652967E-04
0.1325,7.604969E-05,1.281335E-05,2.199741E-03,1.743530E-03,9.583180E-04
0.1335,7.528223E-05,1.300260E-05,2.180329E-03,1.729746E-03,9.512981E-04
0.1345,7.453421E-05,1.319264E-05,2.161255E-03,1.715994E-03,9.442377E-04
0.1355,7.380549E-05,1.338341E-05,2.142513E-03,1.702280E-03,9.371425E-04
0.1365,7.309588E-05,1.357484E-05,2.124096E-03,1.688609E-03,9.300137E-04
0.1375,7.240519E-05,1.376688E-05,2.105999E-03,1.674983E-03,9.228564E-04
0.1385,7.173320E-05,1.395947E-05,2.088216E-03,1.661410E-03,9.156723E-04
0.1395,7.107968E-05,1.415254E-05,2.070740E-03,1.647891E-03,9.084661E-04
0.1405,7.044435E-05,1.434602E-05,2.053566E-03,1.634432E-03,9.012396E-04
0.1415,6.982694E-05,1.453987E-05,2.036688E-03,1.621036E-03,8.939973E-04
0.1425,6.922714E-05,1.473400E-05,2.020099E-03,1.607708E-03,8.867414E-04
0.1435,6.864463E-05,1.492835E-05,2.003795E-03,1.594451E-03,8.794759E-04
0.1445,6.807907E-05,1.512285E-05,1.987770E-03,1.581268E-03,8.722031E-04
0.1455,6.753010E-05,1.531744E-05,1.972018E-03,1.568163E-03,8.649270E-04
0.1465,6.699733E-05,1.551204E-05,1.956534E-03,1.555139E-03,8.576500E-04
0.1475,6.648039E-05,1.570658E-05,1.941313E-03,1.542199E-03,8.503758E-04
0.1485,6.597886E-05,1.590100E-05,1.926348E-03,1.529347E-03,8.431069E-04
0.1495,6.549233E-05,1.609521E-05,1.911636E-03,1.516585E-03,8.358469E-04
0.1505,6.502035E-05,1.628915E-05,1.897171E-03,1.503915E-03,8.285983E-04
0.1515,6.456250E-05,1.648274E-05,1.882947E-03,1.491341E-03,8.213646E-04
0.1525,6.411832E-05,1.667591E-05,1.868961E-03,1.478865E-03,8.141484E-04
0.1535,6.368734E-05,1.686857E-05,1.855207E-03,1.466490E-03,8.069530E-04
0.1545,6.326911E-05,1.706066E-05,1.841680E-03,1.454216E-03,7.997810E-04
0.1555,6.286314E-05,1.725210E-05,1.828375E-03,1.442048E-03,7.926355E-04
