R,LDPQ,WD,LDGQ
0.0005,32.597669,32.596767,32.596144
0.0015,32.597838,32.596151,32.594015
0.0025,32.598777,32.596359,32.592304
0.0035,32.600350,32.597166,32.590807
0.0045,32.601934,32.597968,32.588940
0.0055,32.603754,32.598862,32.586798
0.0065,32.605697,32.599679,32.584228
0.0075,32.607925,32.600493,32.581306
0.0085,32.610394,32.601214,32.577956
0.0095,32.613209,32.601888,32.574229
0.0105,32.616343,32.602457,32.570077
0.0115,32.619863,32.602952,32.565536
0.0125,32.623742,32.603330,32.560573
0.0135,32.628022,32.603612,32.555214
0.0145,32.632678,32.603765,32.549435
0.0155,32.637731,32.603803,32.543257
0.0165,32.643155,32.603701,32.536660
0.0175,32.648960,32.603467,32.529662
0.0185,32.655118,32.603081,32.522246
0.0195,32.661632,32.602548,32.514426
0.0205,32.668472,32.601851,32.506190
0.0215,32.675635,32.600993,32.497548
0.0225,32.683092,32.599958,32.488491
0.0235,32.690836,32.598749,32.479027
0.0245,32.698837,32.597352,32.469148
0.0255,32.707088,32.595768,32.458862
0.0265,32.715557,32.593983,32.448160
0.0275,32.724238,32.591999,32.437050
0.0285,32.733096,32.589804,32.425525
0.0295,32.742127,32.587396,32.413591
0.0305,32.751295,32.584766,32.401241
0.0315,32.760597,32.581912,32.388483
0.0325,32.769996,32.578825,32.375309
0.0335,32.779490,32.575502,32.361725
0.0345,32.789043,32.571935,32.347726
0.0355,32.798650,32.568121,32.333316
0.0365,32.808279,32.564051,32.318490
0.0375,32.817924,32.559724,32.303254
0.0385,32.827553,32.555130,32.287602
0.0395,32.837160,32.550269,32.271539
0.0405,32.846715,32.545130,32.255059
0.0415,32.856209,32.539713,32.238169
0.0425,32.865615,32.534009,32.220862
0.0435,32.874923,32.528015,32.203143
0.0445,32.884107,32.521724,32.185009
0.0455,32.893157,32.515133,32.166462
0.0465,32.902048,32.508235,32.147500
0.0475,32.910766,32.501027,32.128126
0.0485,32.919292,32.493502,32.108335
0.0495,32.927609,32.485657,32.088133
0.0505,32.935699,32.477485,32.067515
0.0515,32.943543,32.468984,32.046485
0.0525,32.951126,32.460146,32.025040
0.0535,32.958428,32.450969,32.003182
0.0545,32.965433,32.441446,31.980910
0.0555,32.972122,32.431574,31.958226
0.0565,32.978480,32.421347,31.935127
0.0575,32.984487,32.410762,31.911616
0.0585,32.990127,32.399812,31.887691
0.0595,32.995382,32.388494,31.863354
0.0605,33.000236,32.376803,31.838604
0.0615,33.004671,32.364736,31.813442
0.0625,33.008669,32.352286,31.787867
0.0635,33.012214,32.339450,31.761880
0.0645,33.015288,32.326223,31.735480
0.0655,33.017875,32.312602,31.708670
0.0665,33.019956,32.298580,31.681447
0.0675,33.021517,32.284155,31.653812
0.0685,33.022538,32.269322,31.625766
0.0695,33.023005,32.254077,31.597309
0.0705,33.022899,32.238414,31.568440
0.0715,33.022205,32.222332,31.539160
0.0725,33.020905,32.205824,31.509468
0.0735,33.018984,32.188887,31.479365
0.0745,33.016425,32.171517,31.448851
0.0755,33.013212,32.153710,31.417926
0.0765,33.009328,32.135461,31.386590
0.0775,33.004759,32.116768,31.354842
0.0785,32.999487,32.097624,31.322682
0.0795,32.993497,32.078028,31.290110
0.0805,32.986775,32.057974,31.257127
0.0815,32.979303,32.037459,31.223731
0.0825,32.971068,32.016479,31.189923
0.0835,32.962054,31.995031,31.155702
0.0845,32.952246,31.973109,31.121068
0.0855,32.941630,31.950712,31.086020
0.0865,32.930191,31.927834,31.050558
0.0875,32.917915,31.904472,31.014681
0.0885,32.904788,31.880623,30.978389
0.0895,32.890795,31.856283,30.941681
0.0905,32.875925,31.831447,30.904557
0.0915,32.860162,31.806114,30.867015
0.0925,32.843493,31.780279,30.829055
0.0935,32.825907,31.753938,30.790677
0.0945,32.807390,31.727088,30.751878
0.0955,32.787929,31.699727,30.712659
0.0965,32.767514,31.671849,30.673017
0.0975,32.746131,31.643452,30.632953
0.0985,32.723769,31.614532,30.592465
0.0995,32.700417,31.585087,30.551551
0.1005,32.676063,31.555112,30.510211
0.1015,32.650697,31.524605,30.468443
0.1025,32.624309,31.493562,30.426246
0.1035,32.596888,31.461981,30.383618
0.1045,32.568423,31.429857,30.340557
0.1055,32.538907,31.397188,30.297063
0.1065,32.508329,31.363971,30.253134
0.1075,32.476680,31.330202,30.208767
0.1085,32.443951,31.295879,30.163961
0.1095,32.410135,31.260999,30.118715
0.1105,32.375223,31.225559,30.073026
0.1115,32.339207,31.189555,30.026893
0.1125,32.302080,31.152985,29.980313
0.1135,32.263835,31.115846,29.933285
0.1145,32.224465,31.078135,29.885806
0.1155,32.183964,31.039850,29.837874
0.1165,32.142325,31.000987,29.789488
0.1175,32.099543,30.961544,29.740644
0.1185,32.055612,30.921518,29.691341
0.1195,32.010527,30.880907,29.641577
0.1205,31.964284,30.839707,29.591348
0.1215,31.916877,30.797917,29.540652
0.1225,31.868304,30.755534,29.489488
0.1235,31.818559,30.712555,29.437852
0.1245,31.767640,30.668978,29.385743
0.1255,31.715544,30.624801,29.333156
0.1265,31.662267,30.580020,29.280091
0.1275,31.607808,30.534634,29.226544
0.1285,31.552164,30.488640,29.172512
0.1295,31.495334,30.442037,29.117993
0.1305,31.437316,30.394821,29.062985
0.1315,31.378109,30.346991,29.007484
0.1325,31.317713,30.298544,28.951487
0.1335,31.256127,30.249478,28.894993
0.1345,31.193351,30.199792,28.837997
0.1355,31.129385,30.149483,28.780498
0.1365,31.064230,30.098549,28.722493
0.1375,30.997887,30.046988,28.663978
0.1385,30.930358,29.994799,28.604951
0.1395,30.861643,29.941978,28.545410
0.1405,30.791746,29.888526,28.485351
0.1415,30.720667,29.834439,28.424771
0.1425,30.648411,29.779716,28.363668
0.1435,30.574979,29.724355,28.302039
0.1445,30.500375,29.668355,28.239881
0.1455,30.424602,29.611714,28.177192
0.1465,30.347665,29.554430,28.113968
0.1475,30.269568,29.496502,28.050208
0.1485,30.190315,29.437928,27.985908
0.1495,30.109911,29.378707,27.921065
0.1505,30.028361,29.318838,27.855677
0.1515,29.945671,29.258318,27.789742
0.1525,29.861846,29.197147,27.723257
0.1535,29.776892,29.135324,27.656219
0.1545,29.690817,29.072846,27.588626
0.1555,29.603626,29.009714,27.520476
0.1565,29.515326,28.945926,27.451765
0.1575,29.425924,28.881480,27.382493
0.1585,29.335429,28.816376,27.312655
0.1595,29.243848,28.750612,27.242252
0.1605,29.151188,28.684189,27.171279
0.1615,29.057459,28.617104,27.099736
0.1625,28.962669,28.549357,27.027619
0.1635,28.866826,28.480947,26.954928
0.1645,28.769940,28.411874,26.881660
0.1655,28.672020,28.342136,26.807813
0.1665,28.573077,28.271734,26.733386
0.1675,28.473119,28.200666,26.658377
0.1685,28.372157,28.128931,26.582785
0.1695,28.270201,28.056531,26.506608
0.1705,28.167263,27.983463,26.429845
0.1715,28.063352,27.909727,26.352494
0.1725,27.958481,27.835324,26.274554
0.1735,27.852659,27.760253,26.196025
0.1745,27.745900,27.684513,26.116905
0.1755,27.638214,27.608105,26.037193
0.1765,27.529614,27.531028,25.956889
0.1775,27.420112,27.453283,25.875991
0.1785,27.309720,27.374869,25.794501
0.1795,27.198451,27.295786,25.712416
0.1805,27.086318,27.216035,25.629737
0.1815,26.973334,27.135616,25.546463
0.1825,26.859512,27.054528,25.462595
0.1835,26.744865,26.972772,25.378132
0.1845,26.629408,26.890350,25.293075
0.1855,26.513153,26.807260,25.207423
0.1865,26.396114,26.723503,25.121179
0.1875,26.278307,26.639080,25.034341
0.1885,26.159744,26.553992,24.946911
0.1895,26.040441,26.468239,24.858890
