R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,4.351470E-04,1.844960E-04,1.157664E-02,2.279985E-04,1.974233E-04
0.0015,2.990648E-04,6.751682E-05,1.128157E-02,1.680620E-04,1.153646E-04
0.0025,2.667378E-04,4.009146E-05,1.107356E-02,2.052731E-04,1.224037E-04
0.0035,2.531199E-04,2.852417E-05,1.088748E-02,2.587772E-04,1.445226E-04
0.0045,2.455707E-04,2.216164E-05,1.071221E-02,3.170429E-04,1.710123E-04
0.0055,2.407149E-04,1.813578E-05,1.054433E-02,3.770247E-04,1.990513E-04
0.0065,2.372790E-04,1.535907E-05,1.038228E-02,4.375575E-04,2.276007E-04
0.0075,2.346757E-04,1.332875E-05,1.022516E-02,4.980794E-04,2.561941E-04
0.0085,2.325969E-04,1.178023E-05,1.007241E-02,5.582727E-04,2.845933E-04
0.0095,2.308652E-04,1.056097E-05,9.923599E-03,6.179358E-04,3.126660E-04
0.0105,2.293715E-04,9.576818E-06,9.778417E-03,6.769296E-04,3.403342E-04
0.0115,2.280450E-04,8.766497E-06,9.636609E-03,7.351524E-04,3.675500E-04
0.0125,2.268378E-04,8.088412E-06,9.497965E-03,7.925262E-04,3.942835E-04
0.0135,2.257163E-04,7.513334E-06,9.362307E-03,8.489895E-04,4.205158E-04
0.0145,2.246564E-04,7.020120E-06,9.229482E-03,9.044931E-04,4.462355E-04
0.0155,2.236405E-04,6.593102E-06,9.099355E-03,9.589968E-04,4.714357E-04
0.0165,2.226553E-04,6.220420E-06,8.971808E-03,1.012468E-03,4.961130E-04
0.0175,2.216906E-04,5.892936E-06,8.846733E-03,1.064879E-03,5.202664E-04
0.0185,2.207387E-04,5.603495E-06,8.724035E-03,1.116207E-03,5.438963E-04
0.0195,2.197935E-04,5.346418E-06,8.603624E-03,1.166436E-03,5.670046E-04
0.0205,2.188501E-04,5.117137E-06,8.485421E-03,1.215550E-03,5.895939E-04
0.0215,2.179048E-04,4.911941E-06,8.369350E-03,1.263537E-03,6.116676E-04
0.0225,2.169546E-04,4.727785E-06,8.255345E-03,1.310390E-03,6.332296E-04
0.0235,2.159970E-04,4.562144E-06,8.143339E-03,1.356101E-03,6.542842E-04
0.0245,2.150301E-04,4.412914E-06,8.033275E-03,1.400667E-03,6.748358E-04
0.0255,2.140524E-04,4.278321E-06,7.925096E-03,1.444084E-03,6.948893E-04
0.0265,2.130627E-04,4.156867E-06,7.818750E-03,1.486353E-03,7.144496E-04
0.0275,2.120600E-04,4.047272E-06,7.714188E-03,1.527473E-03,7.335218E-04
0.0285,2.110435E-04,3.948442E-06,7.611364E-03,1.567448E-03,7.521110E-04
0.0295,2.100127E-04,3.859433E-06,7.510232E-03,1.606281E-03,7.702225E-04
0.0305,2.089672E-04,3.779430E-06,7.410753E-03,1.643975E-03,7.878616E-04
0.0315,2.079067E-04,3.707722E-06,7.312886E-03,1.680538E-03,8.050336E-04
0.0325,2.068309E-04,3.643691E-06,7.216595E-03,1.715974E-03,8.217438E-04
0.0335,2.057398E-04,3.586791E-06,7.121842E-03,1.750293E-03,8.379977E-04
0.0345,2.046334E-04,3.536547E-06,7.028595E-03,1.783502E-03,8.538006E-04
0.0355,2.035117E-04,3.492534E-06,6.936821E-03,1.815610E-03,8.691579E-04
0.0365,2.023747E-04,3.454379E-06,6.846488E-03,1.846626E-03,8.840749E-04
0.0375,2.012226E-04,3.421748E-06,6.757568E-03,1.876561E-03,8.985570E-04
0.0385,2.000557E-04,3.394343E-06,6.670031E-03,1.905427E-03,9.126096E-04
0.0395,1.988741E-04,3.371899E-06,6.583851E-03,1.933233E-03,9.262380E-04
0.0405,1.976781E-04,3.354174E-06,6.499000E-03,1.959992E-03,9.394475E-04
0.0415,1.964680E-04,3.340954E-06,6.415455E-03,1.985716E-03,9.522434E-04
0.0425,1.952440E-04,3.332043E-06,6.333190E-03,2.010418E-03,9.646309E-04
0.0435,1.940065E-04,3.327262E-06,6.252182E-03,2.034111E-03,9.766153E-04
0.0445,1.927559E-04,3.326450E-06,6.172409E-03,2.056808E-03,9.882018E-04
0.0455,1.914926E-04,3.329460E-06,6.093848E-03,2.078523E-03,9.993955E-04
0.0465,1.902168E-04,3.336155E-06,6.016480E-03,2.099270E-03,1.010202E-03
0.0475,1.889290E-04,3.346413E-06,5.940283E-03,2.119063E-03,1.020626E-03
