R,Exact,LDG,LDGQ,LDP,LDPQ,WD
0.0005,1.471518E+00,1.490928E+00,1.471626E+00,1.589053E+00,1.471786E+00,1.471675E+00
0.0015,1.471519E+00,1.495327E+00,1.471574E+00,1.615412E+00,1.471959E+00,1.471742E+00
0.0025,1.471522E+00,1.494238E+00,1.471554E+00,1.608639E+00,1.472169E+00,1.471837E+00
0.0035,1.471527E+00,1.494863E+00,1.471551E+00,1.613369E+00,1.472409E+00,1.471947E+00
0.0045,1.471533E+00,1.494317E+00,1.471551E+00,1.607359E+00,1.472643E+00,1.472059E+00
0.0055,1.471540E+00,1.494770E+00,1.471557E+00,1.609986E+00,1.472887E+00,1.472176E+00
0.0065,1.471549E+00,1.494479E+00,1.471563E+00,1.608626E+00,1.473129E+00,1.472292E+00
0.0075,1.471559E+00,1.494642E+00,1.471573E+00,1.607901E+00,1.473372E+00,1.472411E+00
0.0085,1.471571E+00,1.494584E+00,1.471584E+00,1.607601E+00,1.473617E+00,1.472530E+00
0.0095,1.471584E+00,1.494618E+00,1.471598E+00,1.607095E+00,1.473861E+00,1.472651E+00
0.0105,1.471599E+00,1.494624E+00,1.471613E+00,1.606586E+00,1.474105E+00,1.472771E+00
0.0115,1.471615E+00,1.494640E+00,1.471629E+00,1.606102E+00,1.474350E+00,1.472893E+00
0.0125,1.471633E+00,1.494656E+00,1.471648E+00,1.605626E+00,1.474594E+00,1.473016E+00
0.0135,1.471652E+00,1.494673E+00,1.471668E+00,1.605153E+00,1.474839E+00,1.473139E+00
0.0145,1.471672E+00,1.494692E+00,1.471689E+00,1.604684E+00,1.475084E+00,1.473263E+00
0.0155,1.471695E+00,1.494712E+00,1.471712E+00,1.604219E+00,1.475328E+00,1.473388E+00
0.0165,1.471718E+00,1.494734E+00,1.471737E+00,1.603758E+00,1.475573E+00,1.473514E+00
0.0175,1.471743E+00,1.494757E+00,1.471764E+00,1.603301E+00,1.475818E+00,1.473640E+00
0.0185,1.471770E+00,1.494782E+00,1.471792E+00,1.602848E+00,1.476063E+00,1.473767E+00
0.0195,1.471798E+00,1.494808E+00,1.471821E+00,1.602399E+00,1.476308E+00,1.473895E+00
0.0205,1.471827E+00,1.494835E+00,1.471852E+00,1.601954E+00,1.476552E+00,1.474023E+00
0.0215,1.471858E+00,1.494864E+00,1.471885E+00,1.601513E+00,1.476797E+00,1.474153E+00
0.0225,1.471890E+00,1.494893E+00,1.471920E+00,1.601075E+00,1.477042E+00,1.474282E+00
0.0235,1.471924E+00,1.494925E+00,1.471955E+00,1.600641E+00,1.477287E+00,1.474413E+00
0.0245,1.471959E+00,1.494957E+00,1.471993E+00,1.600210E+00,1.477532E+00,1.474544E+00
0.0255,1.471996E+00,1.494991E+00,1.472032E+00,1.599783E+00,1.477777E+00,1.474676E+00
0.0265,1.472035E+00,1.495027E+00,1.472072E+00,1.599360E+00,1.478022E+00,1.474809E+00
0.0275,1.472074E+00,1.495063E+00,1.472115E+00,1.598940E+00,1.478267E+00,1.474943E+00
0.0285,1.472116E+00,1.495101E+00,1.472158E+00,1.598523E+00,1.478512E+00,1.475077E+00
0.0295,1.472158E+00,1.495140E+00,1.472203E+00,1.598110E+00,1.478757E+00,1.475212E+00
0.0305,1.472202E+00,1.495181E+00,1.472250E+00,1.597700E+00,1.479002E+00,1.475348E+00
0.0315,1.472248E+00,1.495222E+00,1.472299E+00,1.597293E+00,1.479247E+00,1.475484E+00
0.0325,1.472295E+00,1.495266E+00,1.472349E+00,1.596890E+00,1.479492E+00,1.475621E+00
0.0335,1.472344E+00,1.495310E+00,1.472400E+00,1.596490E+00,1.479738E+00,1.475759E+00
0.0345,1.472394E+00,1.495356E+00,1.472453E+00,1.596093E+00,1.479983E+00,1.475898E+00
0.0355,1.472445E+00,1.495402E+00,1.472508E+00,1.595700E+00,1.480228E+00,1.476037E+00
0.0365,1.472498E+00,1.495451E+00,1.472564E+00,1.595309E+00,1.480473E+00,1.476178E+00
0.0375,1.472553E+00,1.495500E+00,1.472621E+00,1.594922E+00,1.480719E+00,1.476319E+00
0.0385,1.472609E+00,1.495551E+00,1.472681E+00,1.594538E+00,1.480964E+00,1.476460E+00
0.0395,1.472666E+00,1.495603E+00,1.472741E+00,1.594157E+00,1.481210E+00,1.476603E+00
0.0405,1.472725E+00,1.495656E+00,1.472804E+00,1.593779E+00,1.481456E+00,1.476746E+00
0.0415,1.472786E+00,1.495711E+00,1.472868E+00,1.593404E+00,1.481701E+00,1.476890E+00
0.0425,1.472848E+00,1.495766E+00,1.472933E+00,1.593032E+00,1.481947E+00,1.477035E+00
0.0435,1.472911E+00,1.495823E+00,1.473000E+00,1.592664E+00,1.482193E+00,1.477180E+00
0.0445,1.472976E+00,1.495882E+00,1.473068E+00,1.592298E+00,1.482439E+00,1.477327E+00
0.0455,1.473042E+00,1.495941E+00,1.473139E+00,1.591935E+00,1.482685E+00,1.477474E+00
0.0465,1.473110E+00,1.496002E+00,1.473210E+00,1.591576E+00,1.482932E+00,1.477622E+00
0.0475,1.473179E+00,1.496064E+00,1.473283E+00,1.591219E+00,1.483178E+00,1.477770E+00
