R,LDG,LDGQ,LDP,LDPQ,WD
0.0795,7.21E-04,1.18E-05,1.09E-02,4.40E-03,2.12E-03
0.0805,7.17E-04,1.20E-05,1.08E-02,4.41E-03,2.13E-03
0.0815,7.13E-04,1.23E-05,1.07E-02,4.43E-03,2.13E-03
0.0825,7.09E-04,1.25E-05,1.06E-02,4.44E-03,2.14E-03
0.0835,7.05E-04,1.28E-05,1.05E-02,4.46E-03,2.15E-03
0.0845,7.01E-04,1.30E-05,1.04E-02,4.47E-03,2.16E-03
0.0855,6.97E-04,1.33E-05,1.03E-02,4.48E-03,2.17E-03
0.0865,6.93E-04,1.35E-05,1.02E-02,4.49E-03,2.17E-03
0.0875,6.89E-04,1.38E-05,1.02E-02,4.50E-03,2.18E-03
0.0885,6.85E-04,1.41E-05,1.01E-02,4.51E-03,2.19E-03
0.0895,6.81E-04,1.44E-05,9.98E-03,4.52E-03,2.19E-03
0.0905,6.77E-04,1.46E-05,9.89E-03,4.53E-03,2.20E-03
0.0915,6.73E-04,1.49E-05,9.81E-03,4.54E-03,2.21E-03
0.0925,6.69E-04,1.52E-05,9.72E-03,4.55E-03,2.21E-03
0.0935,6.65E-04,1.55E-05,9.64E-03,4.55E-03,2.22E-03
0.0945,6.61E-04,1.57E-05,9.55E-03,4.56E-03,2.22E-03
0.0955,6.57E-04,1.60E-05,9.47E-03,4.56E-03,2.23E-03
0.0965,6.53E-04,1.63E-05,9.39E-03,4.57E-03,2.23E-03
0.0975,6.49E-04,1.66E-05,9.31E-03,4.57E-03,2.23E-03
0.0985,6.44E-04,1.69E-05,9.23E-03,4.57E-03,2.24E-03
0.0995,6.40E-04,1.72E-05,9.15E-03,4.58E-03,2.24E-03
0.1005,6.36E-04,1.75E-05,9.07E-03,4.58E-03,2.24E-03
0.1015,6.32E-04,1.78E-05,8.99E-03,4.58E-03,2.25E-03
0.1025,6.28E-04,1.81E-05,8.91E-03,4.58E-03,2.25E-03
0.1035,6.24E-04,1.84E-05,8.84E-03,4.58E-03,2.25E-03
0.1045,6.19E-04,1.87E-05,8.76E-03,4.58E-03,2.25E-03
0.1055,6.15E-04,1.90E-05,8.69E-03,4.58E-03,2.26E-03
0.1065,6.11E-04,1.93E-05,8.61E-03,4.58E-03,2.26E-03
0.1075,6.07E-04,1.97E-05,8.54E-03,4.58E-03,2.26E-03
0.1085,6.03E-04,2.00E-05,8.47E-03,4.58E-03,2.26E-03
0.1095,5.99E-04,2.03E-05,8.40E-03,4.57E-03,2.26E-03
0.1105,5.94E-04,2.06E-05,8.32E-03,4.57E-03,2.26E-03
0.1115,5.90E-04,2.09E-05,8.25E-03,4.57E-03,2.26E-03
0.1125,5.86E-04,2.13E-05,8.19E-03,4.56E-03,2.26E-03
0.1135,5.82E-04,2.16E-05,8.12E-03,4.56E-03,2.26E-03
0.1145,5.78E-04,2.19E-05,8.05E-03,4.55E-03,2.26E-03
0.1155,5.74E-04,2.23E-05,7.98E-03,4.55E-03,2.26E-03
0.1165,5.69E-04,2.26E-05,7.92E-03,4.54E-03,2.26E-03
0.1175,5.65E-04,2.29E-05,7.85E-03,4.54E-03,2.26E-03
0.1185,5.61E-04,2.33E-05,7.79E-03,4.53E-03,2.26E-03
0.1195,5.57E-04,2.36E-05,7.72E-03,4.52E-03,2.26E-03
0.1205,5.53E-04,2.39E-05,7.66E-03,4.52E-03,2.26E-03
0.1215,5.49E-04,2.43E-05,7.59E-03,4.51E-03,2.25E-03
0.1225,5.45E-04,2.46E-05,7.53E-03,4.50E-03,2.25E-03
0.1235,5.41E-04,2.50E-05,7.47E-03,4.49E-03,2.25E-03
0.1245,5.36E-04,2.53E-05,7.41E-03,4.48E-03,2.25E-03
0.1255,5.32E-04,2.57E-05,7.35E-03,4.47E-03,2.24E-03
0.1265,5.28E-04,2.60E-05,7.29E-03,4.46E-03,2.24E-03
