R,LDG,LDGQ,LDP,LDPQ,WD
0.0005,1.39E-02,9.56E-05,8.40E-02,1.98E-04,1.21E-04
0.0015,1.64E-02,5.25E-05,9.96E-02,3.08E-04,1.55E-04
0.0025,1.55E-02,3.12E-05,9.38E-02,4.54E-04,2.20E-04
0.0035,1.59E-02,2.34E-05,9.66E-02,6.22E-04,2.95E-04
0.0045,1.55E-02,1.78E-05,9.25E-02,7.83E-04,3.70E-04
0.0055,1.58E-02,1.52E-05,9.41E-02,9.51E-04,4.47E-04
0.0065,1.56E-02,1.31E-05,9.32E-02,1.12E-03,5.23E-04
0.0075,1.57E-02,1.19E-05,9.27E-02,1.28E-03,6.00E-04
0.0085,1.56E-02,1.11E-05,9.24E-02,1.44E-03,6.75E-04
0.0095,1.57E-02,1.07E-05,9.21E-02,1.61E-03,7.51E-04
0.0105,1.56E-02,1.05E-05,9.17E-02,1.77E-03,8.25E-04
0.0115,1.56E-02,1.06E-05,9.14E-02,1.93E-03,9.00E-04
0.0125,1.56E-02,1.09E-05,9.11E-02,2.09E-03,9.74E-04
0.0135,1.56E-02,1.13E-05,9.07E-02,2.25E-03,1.05E-03
0.0145,1.56E-02,1.20E-05,9.04E-02,2.41E-03,1.12E-03
0.0155,1.56E-02,1.27E-05,9.01E-02,2.57E-03,1.19E-03
0.0165,1.56E-02,1.36E-05,8.97E-02,2.72E-03,1.26E-03
0.0175,1.56E-02,1.46E-05,8.94E-02,2.88E-03,1.33E-03
0.0185,1.56E-02,1.57E-05,8.91E-02,3.03E-03,1.41E-03
0.0195,1.56E-02,1.69E-05,8.88E-02,3.18E-03,1.48E-03
0.0205,1.56E-02,1.81E-05,8.84E-02,3.33E-03,1.54E-03
0.0215,1.56E-02,1.95E-05,8.81E-02,3.48E-03,1.61E-03
0.0225,1.56E-02,2.09E-05,8.78E-02,3.63E-03,1.68E-03
0.0235,1.56E-02,2.24E-05,8.75E-02,3.78E-03,1.75E-03
0.0245,1.56E-02,2.40E-05,8.72E-02,3.93E-03,1.82E-03
0.0255,1.56E-02,2.56E-05,8.68E-02,4.08E-03,1.88E-03
0.0265,1.56E-02,2.73E-05,8.65E-02,4.22E-03,1.95E-03
0.0275,1.56E-02,2.91E-05,8.62E-02,4.37E-03,2.02E-03
0.0285,1.56E-02,3.09E-05,8.59E-02,4.51E-03,2.08E-03
0.0295,1.56E-02,3.28E-05,8.56E-02,4.65E-03,2.14E-03
0.0305,1.56E-02,3.48E-05,8.53E-02,4.79E-03,2.21E-03
0.0315,1.56E-02,3.68E-05,8.50E-02,4.93E-03,2.27E-03
0.0325,1.56E-02,3.89E-05,8.47E-02,5.07E-03,2.34E-03
0.0335,1.56E-02,4.10E-05,8.44E-02,5.21E-03,2.40E-03
0.0345,1.56E-02,4.32E-05,8.41E-02,5.34E-03,2.46E-03
0.0355,1.56E-02,4.54E-05,8.38E-02,5.48E-03,2.52E-03
0.0365,1.56E-02,4.77E-05,8.35E-02,5.61E-03,2.58E-03
0.0375,1.56E-02,5.01E-05,8.32E-02,5.75E-03,2.64E-03
0.0385,1.56E-02,5.25E-05,8.29E-02,5.88E-03,2.70E-03
0.0395,1.56E-02,5.49E-05,8.26E-02,6.01E-03,2.76E-03
0.0405,1.56E-02,5.74E-05,8.23E-02,6.14E-03,2.82E-03
0.0415,1.56E-02,6.00E-05,8.20E-02,6.27E-03,2.88E-03
0.0425,1.56E-02,6.26E-05,8.17E-02,6.40E-03,2.94E-03
0.0435,1.56E-02,6.53E-05,8.14E-02,6.53E-03,2.99E-03
0.0445,1.56E-02,6.80E-05,8.11E-02,6.65E-03,3.05E-03
0.0455,1.55E-02,7.08E-05,8.08E-02,6.78E-03,3.10E-03
0.0465,1.55E-02,7.36E-05,8.05E-02,6.90E-03,3.16E-03
0.0475,1.55E-02,7.65E-05,8.02E-02,7.03E-03,3.22E-03
0.0485,1.55E-02,7.94E-05,8.00E-02,7.15E-03,3.27E-03
